TABLE 22;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country or locality;;2013;;2014;;2015;;2016;2017;
Afghanistan;;52;;87;;70;;101;180;
Albania;;2,000;;1,740;;1,980;;2,000;2,000;
Algeria;;18,500;e;21,000;e;23,000;e;23,000;26,900;
Angolae;;4,000;;5,100;;5,200;;5,000;5,000;
Argentina;;11,892;;11,408;;11,000;e;11,000;11,000;
Armenia;;431;;422;;417;;267;356;
Australiae;;8,400;;9,000;;9,500;r;9,600;9,700;
Austria;;4,385;;4,400;r;4,810;r;4,600;4,600;
Azerbaijan;;2,296;;2,941;;2,683;;2,310;2,955;
Bahraine;;1,300;;1,300;;1,300;;1,400;1,500;
Bangladesh3;;16,780;;17,000;e;28,000;r, e;32,000;28,000;
Barbados;;160;;160;e;160;e;160;160;
Belarus;;5,057;;5,617;;4,638;;4,503;4,490;
Belgium;;6,119;;6,364;r;6,275;r;6,255;6,380;
Benin;;1,422;;1,396;;1,382;r;1,356;1,360;
Bhutan;;570;;690;;791;;940;894;
Bolivia;;3,061;;3,337;;3,468;;3,601;3,611;
Bosnia and Herzegovina;;882;;840;;808;;841;910;
Botswana;;15;;15;;15;;15;15;
Brazil;;69,975;;71,254;;65,283;;57,476;54,004;
Bruneie;;340;;240;;230;;230;230;
Bulgaria;;1,812;;1,785;;2,114;;1,994;2,117;
Burkina Faso;;580;;403;;263;;300;300;
Burma4;;1,121;;1,317;;989;r;2,520;2,430;
Burundie;;100;;70;;100;;100;45;
Cambodia;;1,060;;1,400;;1,700;r, e;2,100;2,200;
Cameroon;;1,400;e;1,300;;1,600;;2,600;2,600;
Canada;;11,611;;11,879;;12,167;;11,870;12,710;
Chade;;180;;200;;200;;200;250;
Chilee;;4,880;;4,200;r;4,300;r;4,200;4,200;
China;;2,411,000;;2,492,000;;2,359,000;;2,410,000;2,331,000;
Colombia;;11,252;;12,384;;13,153;;12,495;12,500;
Congo (Brazzaville);;250;;460;e;700;e;950;1,050;
Congo (Kinshasa);;447;;330;;399;;253;900;
Costa Rica;;1,460;e;1,500;e;1,600;e;1,600;1,800;
Côte d’Ivoiree ;;2,300;e;2,690;;3,100;;3,600;3,600;
Croatia;;2,333;r;2,359;r;2,340;r;2,267;2,490;
Cuba;;1,659;;1,580;;1,518;;1,493;1,431;
Cyprus;;855;;735;;788;;1,019;1,319;
Czechia;;3,211;;3,511;;3,781;;3,937;4,043;
Denmark;;1,830;;1,876;;2,023;r;2,260;2,360;
Djiboutie;;150;;170;;180;;180;180;
Dominican Republic;;4,246;;5,018;;5,181;;5,171;5,254;
Ecuadore;;6,670;;6,600;;6,200;r;5,600;5,700;
Egypt;;50,000;e;52,080;;53,940;;55,000;53,000;
El Salvadore;;1,200;;1,000;;1,000;;1,000;1,000;
Eritrea;;230;;230;r, e;200;e;200;210;
Estonia;;457;;447;;390;;399;503;
Ethiopia5;;4,493;;5,424;;7,500;e;8,300;9,000;
Fiji;;181;;188;;204;;219;141;
Finlande;;1,300;;1,250;;1,300;;1,300;1,300;
France;;18,018;;16,400;;15,600;;15,900;16,000;
French Guiana;;94;e;87;;76;;91;80;
Gabon;;170;e;170;e;150;e;--;--;
Georgia;;1,619;;1,626;;1,759;;1,809;1,800;
Germany;;31,308;;32,099;;31,150;r;32,737;33,991;
