TABLE 22;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country or locality;;2016;;2017;;2018;;2019;2020;
Afghanistane;;80;r;80;r;80;r;80;80;
Albania;;1,680;;1,930;;1,770;r;1,770;1,890;
Algeria;;22,870;r;25,330;r;24,480;r;25,370;22,500;
Angola;;3,870;;2,570;;2,680;r;2,470;2,720;
Argentina;;10,899;;11,960;;11,842;;11,082;9,871;
Armenia;;267;;356;;546;;591;715;
Australiae;;9,600;;9,700;;10,200;;9,900;9,600;
Austria;;4,800;;4,900;;5,200;;5,200;5,100;
Azerbaijan;;2,310;;2,955;;3,445;;3,488;3,226;
Bahrain;;1,390;;1,490;;1,600;e;670;610;
Bangladesh3;;25,220;r;27,240;r;31,500;r;33,800;31,400;
Barbadose;;160;;160;;160;;160;160;
Belarus;;4,503;;4,490;;4,519;;4,728;4,736;
Belgium;;6,255;;7,314;r;7,546;r;7,857;6,820;
Benin;;1,356;;1,373;;2,530;;2,500;2,380;
Bhutan;;940;;895;;941;;1,190;810;
Bolivia;;3,601;;3,611;;3,655;r;3,900;3,210;
Bosnia and Herzegovina;;841;;910;;995;;955;1,126;
Botswana;;15;;15;;1;e;--;9;
Brazil;;57,557;;54,004;;53,553;;56,611;61,052;
Bruneie;;250;;270;;290;;290;220;
Bulgaria;;1,994;;2,117;;2,331;;2,456;2,000;
Burkina Faso;;1,650;;1,800;;2,150;r;2,745;2,190;
Burma4;;2,520;;5,480;;6,500;e;7,700;8,350;
Burundie;;100;;45;;100;;75;210;
Cambodia;;2,100;e;3,400;;4,900;e;7,870;7,900;
Cameroon;;2,340;r;2,560;r;2,830;r;2,780;3,440;
Canada;;11,693;;12,706;;13,554;;13,120;13,000;
Chad;;250;;350;;370;r;410;350;
Chile;;4,310;;4,000;;4,750;r;5,030;4,280;
China;;2,410,000;;2,331,000;;2,236,000;r;2,350,000;2,380,000;
Colombia;;12,495;;12,299;;12,452;;13,013;11,849;
Congo (Brazzaville)e;;950;;1,050;;700;;730;600;
Congo (Kinshasa);;253;;900;;1,048;;1,382;1,079;
Costa Rica;;1,220;r;1,364;r;1,340;r;1,220;972;
Côte d'Ivoire;;3,600;;3,500;;4,500;r;4,900;5,000;
Croatia;;2,267;;2,608;;2,828;r;2,968;2,729;
Cuba;;1,493;;1,431;;1,590;;1,407;1,015;
Cyprus;;1,019;;1,319;;1,358;;1,537;1,496;
Czechia;;3,937;;4,043;;4,428;;4,569;4,513;
Denmark;;2,220;r;2,360;r;2,200;r;2,250;2,340;
Djibouti;;130;;160;;224;r;250;240;
Dominican Republic;;5,171;;5,254;;5,430;;5,644;5,100;
Ecuadore;;5,550;;5,690;;5,800;r;5,550;5,000;
Egypt;;55,000;;68,500;;81,200;;43,800;41,700;
El Salvador;;880;;900;;1,089;r;1,280;1,000;
Eritreae;;200;;210;;280;;280;280;
Estonia;;399;;503;;527;;411;258;
Ethiopiae, 5;;8,500;r;9,100;r;9,500;r;9,600;9,700;
Fiji;;219;;141;;143;;128;98;
Finlande;;1,340;r;1,510;r;1,460;r;1,430;1,350;
France;;15,900;;16,900;;16,500;;16,500;15,200;
French Guiana;;91;;80;;93;;95;90;
Gabon;;340;;370;;490;;540;510;
Georgia;;1,809;;2,058;;1,981;;2,681;2,483;
Germany;;32,737;;33,991;;33,633;;34,200;33,600;
Ghana;;4,310;;3,940;;5,110;r;4,990;5,120;
Greece;;6,540;;6,246;;6,580;;5,540;5,450;
Guadeloupee;;300;;300;;310;;310;310;
Guatemala;;3,360;;3,440;;3,030;r;2,890;3,230;
Guinea;;1,160;;1,280;;1,380;;1,500;1,540;
Guyanae;;400;;400;;410;;410;400;
Haitie;;200;;200;;200;;200;200;
Honduras;;1,840;;2,140;;1,960;;1,800;1,490;
Hong Kong;;1,840;;1,580;;1,640;;1,600;1,500;
Hungarye;;1,283;r;1,663;r;1,670;;2,500;2,300;
Indiae;;284,000;r;308,000;r;310,000;r;334,000;295,000;
Indonesia;;62,000;e;69,279;;75,213;;71,900;64,800;
Irane;;55,300;r;55,200;r;55,400;r;60,400;68,300;
Iraqe;;13,000;r;14,000;r;24,000;r;27,000;28,000;
Irelande;;3,300;r;3,300;r;4,000;r;3,700;3,400;
Israel;;7,150;;6,361;;5,858;;5,000;3,400;
Italy;;19,300;;19,300;;19,300;;19,200;18,500;
Jamaica;;911;;846;;787;;759;940;
Japan;;53,255;;55,195;;55,307;;53,462;50,905;
Jordan;;4,530;;4,680;;4,940;r;3,200;2,900;
Kazakhstan;;9,204;;9,398;;9,913;;10,268;10,810;
Kenya;;6,715;;6,230;;6,070;;6,163;7,474;
Korea, North;;7,080;;6,840;;5,830;;5,600;5,400;
Korea, Republic of;;56,747;;57,400;;52,093;r;50,000;48,000;
Kosovoe;;710;;840;;850;;816;815;
Kuwaite;;4,000;;3,400;;3,400;r;3,900;3,400;
Kyrgyzstan;;1,302;;1,505;;1,931;;1,947;1,875;
Laos;;3,407;;3,938;;4,800;;5,208;6,162;
Latviae;;1,000;;1,000;;1,000;;1,100;1,100;
Lebanon;;5,264;r;5,149;r;4,702;r;3,250;2,138;
Liberia;;241;;285;;332;r;343;416;
Libya;;4,100;;4,500;;4,500;;3,600;3,100;
Lithuania;;1,010;;1,023;;1,151;;1,223;1,221;
Luxembourg;;1,130;r;1,200;r;1,080;r;1,150;1,140;
Macedonia;;855;;901;;921;;896;928;
Madagascar;;150;;200;;130;r;120;100;
Malawi;;151;;211;;232;;243;220;
Malaysia;;22,330;;18,800;;20,500;r;20,000;15,600;
Mali;;650;;670;;960;r;1,000;1,500;
Martiniquee;;150;;150;;150;;150;150;
Mauritania;;790;;850;;1,000;r;1,000;718;
Mexico;;40,577;;41,601;;48,328;;39,800;47,800;
Moldova;;975;;1,116;;1,233;;1,329;1,200;
Mongolia;;432;;675;;934;;1,098;1,180;
Morocco;;14,260;;13,850;r;13,380;r;13,690;12,300;
Mozambique;;2,446;;2,350;;2,400;e;2,700;2,800;
Namibia;;778;;780;e;930;e;1,000;901;
Nepal;;5,850;r;8,050;r;8,900;r;9,860;7,490;
Netherlands;;2,930;;2,030;;2,940;r;3,440;2,980;
New Caledonia;;112;;104;;86;;77;73;
New Zealande;;900;;360;;450;;1,000;950;
Nicaragua;;780;;780;;680;;580;510;
Niger;;51;e;51;e;190;r;350;350;
Nigeriae;;22,000;;19,000;;22,000;r;23,000;25,700;
Norway;;1,660;;1,880;;1,680;r;1,480;1,440;
Omane;;5,700;r;4,860;r;5,370;r;5,520;6,230;
Pakistan;;37,020;;38,900;;40,800;;40,500;40,100;
Panama;;1,900;;1,920;;1,640;r;1,370;754;
Papua New Guineae;;200;;200;;200;;140;130;
Paraguaye;;1,300;;1,500;;1,100;r;1,100;1,000;
Peru;;10,094;;9,980;;10,049;;10,574;9,140;
Philippines;;23,000;r;26,000;e;27,700;r;27,700;23,000;
Poland;;15,720;r;17,145;r;18,788;r;18,653;18,900;
Portugal;;4,100;;3,790;;3,960;;4,140;4,290;
Qatar;;6,700;;6,000;;5,600;r;4,500;3,900;
Reunion;;250;r;250;r;260;r;250;218;
Romania;;8,038;;8,442;;8,951;;9,937;10,539;
Russia;;54,935;;54,721;;53,678;;57,679;56,000;
Rwandae;;350;;390;;400;;450;450;
Saudi Arabia;;55,925;r;47,128;r;41,937;r;44,341;53,418;
Senegal;;5,149;;5,197;;5,412;;6,775;7,000;
Serbia;;1,801;;1,908;;2,093;;2,151;2,364;
Sierra Leonee;;320;;324;;325;;350;350;
Slovakia;;3,518;;3,782;;3,913;;4,031;4,072;
Sloveniae;;700;;660;;680;;1,035;920;
South Africa;;14,457;r;14,134;r;13,680;r;12,726;13,200;
Spain;;15,000;e;14,500;;16,215;r;16,998;15,600;
Sri Lanka;;2,695;;2,819;;2,841;;2,438;2,650;
Sudan;;4,013;;4,326;;3,929;r;2,594;2,500;
Suriname;;20;;30;;30;;50;50;
Sweden;;2,840;;3,020;;3,200;;2,720;3,000;
Switzerland;;4,710;;4,580;e;4,290;;4,210;4,150;
Syria;;2,450;;2,120;;2,150;e;3,000;3,500;
Taiwan;;12,126;;10,876;;10,939;;11,271;11,786;
Tajikistan;;1,361;;3,117;;3,844;;4,202;4,243;
