TABLE 22;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country or locality;;2017;;2018;;2019;;2020;2021;
Afghanistane;;80;;80;;80;;80;40;
Albania;;1,930;;1,770;;1,770;;2,522;2,503;
Algeria;;25,330;;24,480;;25,370;;22,500;24,000;
Angola;;2,570;;2,680;;2,470;;2,720;3,100;
Argentina;;11,960;;11,842;;11,082;;9,871;12,126;
Armenia;;356;;546;;591;;715;853;
Australiae;;9,700;;10,200;;9,900;;9,600;9,800;
Austria;;5,058;r;5,421;r;5,264;r;5,404;5,400;
Azerbaijan;;2,955;;3,445;;3,488;;3,237;3,440;
Bahrain;;1,490;;1,170;r, e;670;;610;610;
Bangladesh3;;27,240;;31,500;;33,800;;31,400;34,200;
Barbadose;;240;r;240;r;240;r;180;240;
Belarus;;4,490;;4,519;;4,728;;4,736;4,985;
Belgium;;7,314;;7,546;;7,857;;6,820;7,400;
Benin;;1,373;;2,530;;2,320;r;2,380;2,340;
Bhutan;;895;;941;;1,190;;810;1,100;
Bolivia;;3,611;;3,655;;3,950;r;3,210;3,500;
Bosnia and Herzegovina;;910;;995;;955;;1,126;1,097;
Botswana;;15;e;1;e;--;r;--;--;
Brazil;;54,004;;53,553;;56,611;;61,052;65,884;
Bruneie;;270;;290;;290;;250;260;
Bulgaria;;2,117;;2,331;;2,456;;2,000;1,989;
Burkina Faso;;1,800;;2,150;;2,745;;2,190;3,040;
Burma4;;5,480;;4,500;r;5,100;r;6,000;6,700;
Burundie;;45;;100;;75;;210;180;
Cambodia;;3,400;;4,900;e;7,400;r;7,900;8,700;
Cameroon;;2,560;;2,830;;2,780;;3,440;4,500;
Canada;;12,706;;13,554;;13,120;;13,000;14,000;
Chad;;350;;370;;410;;390;510;
Chile;;4,000;;4,750;;5,030;;4,280;4,750;
China;;2,331,000;;2,236,000;;2,340,000;r;2,377,000;2,360,000;
Colombia;;12,299;;12,452;;13,013;;11,849;13,797;
Congo (Brazzaville)e;;1,050;;700;;730;;600;800;
Congo (Kinshasa);;900;;1,169;r;1,383;r;1,285;1,560;
Costa Rica;;1,364;;1,340;;1,220;;972;975;
