code;country;year;value
;Argentina, Lithium carbonate;2002;906
;Argentina, Lithium chloride;2002;4729
;Argentina, Spodumene and amblygonite;2002;NA
;Australia, spodumene;2002;100000
;Brazil, concentrates;2002;11200
;Canada, spodumene;2002;22500
;Chile, carbonate from subsurface brine;2002;31500
;China, carbonate;2002;13000
;Namibia, concentrates, chiefly petalite;2002;NA
;Portugal, lepidolite;2002;9500
;Russia (minerals not specified);2002;2000
;United States, spodumene and subsurface brine;2002;NA
;Zimbabwe, amblygonite, eucryptite, lepidolite, petalite, and spodumene;2002;32000
;Argentina, Lithium carbonate;2003;1000
;Argentina, Lithium chloride;2003;4700
;Australia, spodumene;2003;110000
;Brazil, concentrates;2003;12100
;Canada, spodumene;2003;22500
;Chile, carbonate from subsurface brine;2003;35000
;China, carbonate;2003;13500
;Portugal, lepidolite;2003;9500
;Russia, minerals not specified;2003;2000
;United States, subsurface brine;2003;NA
;Zimbabwe, amblygonite, eucryptite, lepidolite, petalite, and spodumene;2003;24000
;Argentina, Lithium carbonate;2004;4970
;Argentina, Lithium chloride;2004;6303
;Australia, spodumene;2004;125000
;Brazil, concentrates;2004;12100
;Canada, spodumenee;2004;22500
;Chile, carbonate from subsurface brine;2004;42500
;China, carbonate;2004;14000
;Portugal, lepidolite;2004;16000
;Russia, unspecifiede;2004;2200
;United States, subsurface brine;2004;NA
;Zimbabwe, amblygonite, eucryptite, lepidolite, petalite, and spodumene;2004;12000
;Argentina, Lithium carbonate;2005;5000
;Argentina, Lithium chloride;2005;6300
;Australia, spodumene;2005;120000
;Brazil, concentrates;2005;12100
;Canada, spodumene;2005;22500
;Chile, carbonate from subsurface brine;2005;44000
;China, carbonate;2005;15000
;Portugal, lepidolite;2005;16000
;Russia, minerals not specified;2005;2200
;United States, subsurface brine;2005;NA
;Zimbabwe, amblygonite, eucryptite, lepidolite, petalite, and spodumene;2005;13000
;Argentina, Lithium carbonate;2006;8000
;Argentina, Lithium chloride;2006;8500
;Australia, spodumene;2006;175000
;Brazil, concentrates;2006;12100
;Canada, spodumene;2006;22500
;Chile, carbonate from subsurface brine;2006;43600
;China, carbonate;2006;15000
;Portugal, lepidolite;2006;16000
;Russia, minerals not specified;2006;2200
;United States, subsurface brine;2006;NA
;Zimbabwe, amblygonite, eucryptite, lepidolite, petalite, spodumene;2006;30000
;Argentina, Lithium carbonate;2007;8500
;Argentina, Lithium chloride;2007;8500
;Australia, spodumene;2007;220000
;Brazil, concentrates;2007;9000
;Canada, spodumenee;2007;22500
;Chile, Lithim carbonate from subsurface brine;2007;55500
;Chile, Lithium chloride;2007;4200
;China, carbonate e;2007;16000
;Portugal, lepidolite;2007;28500
;Russia, minerals not specified;2007;NA
;United States, subsurface brine;2007;NA
;Zimbabwe, amblygonite, eucryptite, lepidolite, petalite, and spodumene;2007;15000
;Argentina, Lithium carbonate;2008;10000
;Argentina, Lithium chloride;2008;7800
;Australia, spodumene;2008;200000
;Brazil, concentrates;2008;8000
;Canada, spodumenee;2008;22000
;Chile, Lithim carbonate from subsurface brine;2008;52520
;Chile, Lithium chloride;2008;4360
;China, carbonate;2008;17500
;Portugal, lepidolite;2008;35000
;United States, subsurface brine;2008;NA
;Zimbabwe, amblygonite, eucryptite, lepidolite, petalite, and spodumene;2008;25000
;Argentina, Lithium carbonate;2009;7000
;Argentina, Lithium chloride;2009;5500
;Australia, spodumene;2009;200000
;Brazil, concentrates;2009;8000
;Canada, spodumenee;2009;10000
;Chile, Lithim carbonate from subsurface brine;2009;25154
;Chile, Lithium chloride;2009;2397
;Chile, Lithium hydroxide;2009;2987
;China, carbonate;2009;20000
;Portugal, lepidolite;2009;37359
;United States, subsurface brine;2009;NA
;Zimbabwe, amblygonite, eucryptite, lepidolite, petalite, and spodumene;2009;20000
;Argentina, Lithium carbonate;2010;10000
;Argentina, Lithium chloride;2010;6500
;Australia, spodumene;2010;295000
;Brazil, concentrates;2010;8000
;Canada, spodumenee;2010;NA
;Chile, Lithium carbonate from subsurface brine;2010;48500
;Chile, Lithium chloride;2010;4400
;Chile, Lithium hydroxide;2010;4050
;China, carbonate;2010;21000
;Portugal, lepidolite;2010;40600
;United States, subsurface brine;2010;NA
;Zimbabwe, amblygonite, eucryptite, lepidolite, petalite, and spodumene;2010;23500
;Argentina:;2011;NA
;Argentina, Lithium carbonate;2011;10500
;Argentina, Lithium chloride;2011;6000
;Australia, spodumene;2011;421396
;Brazil, concentrates;2011;15800
;Canada, spodumenee;2011;NA
;Chile, Lithium carbonate from subsurface brine;2011;59933
;Chile, Lithium chloride;2011;3864
;Chile, Lithium hydroxide;2011;5800
;China, carbonate;2011;22000
;Portugal, lepidolite;2011;41000
;United States, subsurface brine;2011;NA
;Zimbabwe, amblygonite, eucryptite, lepidolite, petalite, and spodumene;2011;23500
;Argentina, subsurface brine:;2012;NA
;Argentina, Lithium carbonate;2012;10600
;Argentina, Lithium chloride;2012;4300
;Australia, spodumene;2012;456921
;Brazil, concentrates;2012;7500
;Canada, spodumenee;2012;NA
;Chile, subsurface brine:;2012;NA
;Chile, Lithium carbonate;2012;65000
;Chile, Lithium chloride;2012;4200
;Chile, Lithium hydroxide;2012;6500
;China, carbonatee;2012;24000
;Portugal, lepidolite;2012;37500
;United States, subsurface brine;2012;NA
;Zimbabwe, amblygonite, eucryptite, lepidolite, petalite, and spodumene;2012;53000
;Argentina, subsurface brine:;2013;NA
;Argentina, Lithium carbonate;2013;9500
;Argentina, Lithium chloride;2013;4200
;Australia, spodumene;2013;421000
;Brazil, concentrates;2013;8000
;Canada, spodumene;2013;NA
;Chile, subsurface brine:;2013;NA
;Chile, Lithium carbonate;2013;52358
;Chile, Lithium chloride;2013;4091
;Chile, Lithium hydroxide;2013;4197
;China, carbonatee;2013;25000
;Portugal, lepidolite;2013;38000
;United States, carbonate;2013;4600
;Zimbabwe, amblygonite, eucryptite, lepidolite, petalite, and spodumene;2013;50000
;Argentina, subsurface brine:;2014;NA
;Argentina, Lithium carbonate;2014;11698
;Argentina, Lithium chloride;2014;7370
;Australia, spodumene;2014;425000
;Brazil, concentrates;2014;8519
;Chile, subsurface brine:;2014;NA
;Chile, Lithium carbonate;2014;55074
;Chile, Lithium chloride;2014;2985
;Chile, Lithium hydroxide;2014;4194
;China, lithium carbonate equivalente;2014;10100
;Portugal, lepidolite;2014;17459
;United States, carbonate;2014;NA
;Zimbabwe, amblygonite, eucryptite, lepidolite, and petalite;2014;45000
;Argentina, subsurface brine:;2015;NA
;Argentina, Lithium carbonate;2015;14137
;Argentina, Lithium chloride;2015;5848
;Australia, spodumene;2015;490000
;Brazil, concentrates;2015;8500
;Chile, subsurface brine:;2015;NA
;Chile, Lithium carbonate;2015;50418
;Chile, Lithium chloride;2015;2069
;Chile, Lithium hydroxide;2015;3888
;China, lithium carbonate equivalente;2015;10700
;Portugal, lepidolite;2015;17120
;United States, carbonate;2015;NA
;Zimbabwe, amblygonite, eucryptite, lepidolite, and petalite;2015;50000
;Argentina, subsurface brine:;2016;NA
;Argentina, Lithium carbonate;2016;25500
;Argentina, Lithium chloride;2016;6000
;Australia, spodumene;2016;560000
;Brazil, concentrates;2016;8500
;Chile, subsurface brine:;2016;NA
;Chile, Lithium carbonate;2016;67300
;Chile, Lithium chloride;2016;1600
;Chile, Lithium hydroxide;2016;6000
;China, lithium carbonate equivalente;2016;12200
;Portugal, lepidolite;2016;25800
;United States, lithium carbonate;2016;NA
;Zimbabwe, amblygonite, eucryptite, lepidolite, and petalite;2016;50000
;Argentina, subsurface brine:;2017;NA
;Argentina, Lithium carbonate;2017;26559
;Argentina, Lithium chloride;2017;4501
;Australia, spodumene;2017;1706618
;Brazil, concentrates;2017;6000
;Chile, subsurface brine:;2017;NA
;Chile, Lithium carbonate;2017;73563
;Chile, Lithium chloride;2017;2535
;Chile, Lithium hydroxide;2017;5280
;China, lithium carbonate equivalent;2017;36339
;Portugal, lepidolite;2017;50743
;United States, lithium carbonate;2017;NA
;Zimbabwe, amblygonite, eucryptite, lepidolite, and petalite;2017;40000
;Argentina, Lithium carbonate;2018;29707
;Argentina, Lithium chloride;2018;5005
;Australia, spodumene;2018;2112667
;Brazil, concentrate;2018;10000
;Canada, spodumene;2018;114000
;Chile, Lithium carbonate;2018;87029
;Chile, Lithium chloride;2018;3826
;Lithium hydroxide;2018;6468
;China, lithium carbonate equivalent;2018;37800
;Namibia, lepidolite;2018;NA
;Portugal, lepidolite;2018;53200
;United States, lithium carbonate;2018;NA
;Zimbabwe, petalite, lepidolite;2018;80000
;Argentina, Lithium carbonate;2019;29994
;Argentina, Lithium chloride;2019;4284
;Australia, spodumene;2019;1616764
;Brazil, concentrate;2019;85000
;Canada, spodumene;2019;9000
;Chile, Lithium carbonate;2019;99300
;Chile, Lithium chloride;2019;3000
;Chile, Lithium hydroxide;2019;10000
;China, lithium carbonate equivalent;2019;57500
;Namibia, lepidolite;2019;NA
;Portugal, lepidolite;2019;77000
;United States, lithium carbonate;2019;NA
;Zimbabwe, petalite, lepidolite;2019;80000
;Argentina, Lithium carbonate;2020;26911
;Argentina, Lithium chloride;2020;4836
;Australia, spodumene;2020;1427380
;Brazil, concentrate;2020;51000
;Canada, spodumene;2020;--
;Chile, Lithium carbonate;2020;114260
;Chile, Lithium chloride;2020;--
;Chile, Lithium hydroxide3;2020;9030
;China, lithium carbonate equivalent4;2020;70600
;Namibia, lepidolite;2020;--
;Portugal, lepidolite;2020;23185
;United States, lithium carbonate;2020;NA
;Zimbabwe, petalite, lepidolite;2020;20859
;USGSTotal;2020;1740000
;Argentina, subsurface brine:;2021;
;Argentina, Lithium carbonate;2021;28520
;Argentina, Lithium chloride;2021;3723
;Australia, spodumene;2021;1985670
;Brazil, concentrate;2021;60000
;Canada, spodumene;2021;--
;Chile, subsurface brine:;2021;
;Chile, Lithium carbonate;2021;150348
;Chile, Lithium chloride;2021;--
;Chile, Lithium hydroxide3;2021;12129
;China, lithium carbonate equivalent4;2021;75000
