TABLE 11;;;;;;;;;;;;
RAW STEEL:  WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;1998;;1999;;2000;;2001;;2002e;;
Albaniae;;15;;15;;65;r;94;r;100;;
Algeria;;400;e;758;;842;;850;r;1,090;5;
Angolae;;9;;--;r;--;r;--;r;--;;
Argentina;;4,210;r;3,797;r;4,472;r;4,107;;4,363;5;
Australia;;8,798;;8,158;;7,812;;7,600;;8,242;p;
Austria;;5,298;;5,213;;5,725;;5,887;r;6,208;5;
Azerbaijan;;8;;--;;--;;--;;--;;
Bangladeshe, 6;;35;;36;;35;;30;r;30;;
Belarus;;1,412;;1,449;;1,623;;1,500;;1,500;;
Belgium;;11,427;;10,972;;11,637;;10,783;r;11,495;5;
Bosnia and Herzegovinae;;50;;60;;77;;84;r;85;;
Brazil7;;25,800;r;24,996;r;27,865;r;26,717;r;29,604;5;
Bulgaria;;2,216;;1,889;;2,017;;1,942;r;2,000;;
Burmae;;24;;24;;24;;24;;24;;
Canada;;15,930;;16,300;;15,900;r;16,300;r;16,300;p;
Chile7;;1,171;;1,291;;1,352;;1,247;;1,280;5;
China8;;115,590;;124,260;;128,500;;151,630;r;181,550;5;
Colombia;;636;;534;;660;;638;r;662;5;
Croatia;;105;;77;;71;;58;;65;;
Cuba;;283;;303;;327;r;270;r;270;;
Czech Republic;;6,498;;5,613;;6,216;;6,316;r;6,500;;
Denmark;;790;;748;;803;r;746;r;392;;
Dominican Republic;;36;;43;;36;r;36;r, e;36;;
Ecuador;;46;;53;;58;;60;r;67;5;
Egypt;;2,870;;2,619;;2,820;e;3,800;r;4,200;;
El Salvador;;43;;34;;41;;39;;49;5;
Finland;;3,932;;3,956;;4,096;;3,938;r;4,004;5;
France;;20,126;;20,211;;21,002;r;19,431;r;20,524;5;
Georgia;;56;r;7;r;5;r;5;r;5;;
Germany;;44,046;;42,056;;46,376;;44,775;r;44,999;5;
Ghana, all from scrap;;75;;75;;75;;75;;75;;
Greece;;1,109;;951;;1,056;;1,281;r;1,835;5;
Guatemala;;28;;80;;166;;202;r;216;5;
Hong Konge;;350;;450;;500;;500;;500;;
Hungary;;1,821;;1,813;;1,871;;2,056;r;2,000;;
India;;23,480;;24,269;;26,924;;27,291;r;28,814;5;
Indonesiae;;NA;;2,890;;3,010;;2,780;r;3,000;;
Iran;;5,608;;6,277;;6,600;;6,900;e;7,300;;
Iraqe;;50;r;50;r;50;;50;;25;;
Ireland;;358;;335;;375;;110;r;--;;
Israele;;280;;280;;270;;220;;150;;
Italy;;25,798;;24,964;;26,544;;26,483;r;25,930;5;
Japan;;93,548;;94,192;;106,444;;102,866;;107,745;5;
Jordane;;30;;30;;30;;30;;30;;
Kazakhstan;;3,089;;4,116;;4,770;;4,691;r;4,868;5;
Kenya;;25;e;--;;--;;--;;--;;
Korea, Northe;;1,000;;1,000;;1,000;;1,000;;1,000;;
Korea, Republic of;;39,896;;41,042;;43,107;;43,852;;45,390;5;
Latvia;;468;;484;;500;;510;e;505;;
Libya;;925;;945;;1,055;;846;r, e;1,000;;
Luxembourg;;2,592;;2,477;;2,571;;2,725;r;2,736;5;
