TABLE 11;;;;;;;;;;;;
RAW STEEL:  WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;2001;;2002;;2003;;2004;;2005e;;
Albaniae;;94;;100;;100;;100;;100;;
Algeria;;850;;1,091;;1,051;;1,014;;1,007;5;
Argentina;;4,107;;4,363;;5,033;;5,125;;5,382;5;
Australia;;7,600;;8,242;;8,300;e;4,811;;5,010;5;
Austria;;5,887;;6,208;;6,261;;6,530;;7,031;5;
Bangladeshe, 6;;30;;30;;25;;25;;20;;
Belaruse;;1,500;5;1,500;;1,570;;1,900;r;2,076;5;
Belgium;;10,783;;11,495;;11,114;;11,698;;10,422;5;
Bosnia and Herzegovinae;;84;;85;;90;;120;r;120;;
Brazil7;;26,718;;29,605;;31,150;r;32,918;r;31,631;5;
Bulgaria;;1,942;;1,860;e;2,317;r;2,106;r;2,200;;
Burmae;;25;;25;;25;;25;;25;;
Canada;;16,300;;16,300;;17,000;;17,000;e;1,700;;
Chile7;;1,247;;1,279;;1,377;;1,579;r;1,570;;
China8;;151,630;;182,370;;222,340;;272,450;;349,360;5;
Colombia;;638;;664;;668;;745;;750;;
Croatia;;58;;34;;41;r;68;r;70;;
Cuba;;270;;264;;268;e;197;r;200;;
Czech Republic;;6,316;;6,512;;6,783;r;7,033;r;6,200;;
Denmark;;746;;392;;--;e;--;e;--;;
Dominican Republic;;33;;61;;61;e;61;e;61;;
Ecuador;;60;;69;;80;;72;r;72;;
Egypt;;3,800;;4,358;;4,398;;4,757;;4,760;;
El Salvador;;39;;49;r;57;;59;r;60;;
Finland;;3,938;;4,004;;4,766;;4,833;;4,800;;
France;;19,431;;20,524;;19,578;;20,770;;19,481;5;
Germany;;44,775;;44,999;;44,809;;46,374;;44,524;5;
Ghana, all from scrape;;75;;75;;75;;75;;75;;
Greece;;1,281;;1,835;;1,701;;1,967;;2,266;5;
Guatemala;;202;;216;;226;;232;r;235;;
Hong Konge;;500;;500;;500;;500;;500;;
Hungary;;2,056;;2,141;;2,100;e;1,984;r;1,946;5;
India;;27,291;;28,814;;31,779;;32,000;e;34,000;;
Indonesiae;;2,781;r;2,462;r;2,042;r;2,412;r;2,800;;
Iran;;6,890;;7,293;;7,869;;9,382;;9,400;;
Iraqe;;50;;--;;--;;--;e;--;;
Ireland;;110;;--;;--;e;--;e;--;;
Israele;;220;;150;;150;;280;r;300;;
Italy;;26,483;;25,930;;26,832;;28,317;;29,061;5;
Japan;;102,866;;107,745;;110,511;;112,718;;112,471;5;
Jordan;;30;e;134;r;135;r;140;r;140;;
Kazakhstan;;4,691;;4,868;;5,067;;5,400;e;4,452;5;
Korea, Northe;;1,000;;1,030;;1,090;;1,070;;1,070;;
Korea, Republic of;;43,852;;45,390;;46,310;;47,521;r;47,820;5;
Latvia;;510;e;507;;546;;554;r;550;;
Libya;;846;e;886;;1,007;;1,026;;1,300;;
Luxembourg;;2,725;;2,736;;2,675;;2,684;;2,194;5;
Macedonia;;218;;225;;291;;309;r;300;;
Malaysia;;4,100;;4,722;;3,960;;5,698;r;6,200;;
See footnotes at end of table.;;;;;;;;;;;;
TABLE 11—Continued;;;;;;;;;;;;
RAW STEEL:  WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;2001;;2002;;2003;;2004;;2005e;;
Mauritaniae;;5;;5;;5;;5;;5;;
Mexico;;13,300;;14,010;;15,159;;16,730;;16,400;;
Moldova;;966;;514;;886;r;1,013;r;1,000;;
Moroccoe;;5;;5;;5;;5;;5;;
Netherlands;;6,037;;6,144;;6,571;;6,848;;6,919;5;
New Zealande;;770;;750;;750;;800;;800;;
Norwaye;;635;5;694;;698;;695;;690;;
Pakistane;;500;;500;;500;;500;;500;;
Paraguay;;67;r;80;r;91;r;107;r;100;;
Perue;;750;;750;;750;;750;;750;;
Philippinese;;530;;530;;340;;360;;360;;
Poland;;8,809;;8,369;;9,107;r;10,593;r;8,514;5;
Portugal;;728;;800;e;722;;720;;720;;
Qatar;;908;;1,027;;1,054;;1,046;;1,070;;
Romania;;4,930;;5,491;;5,691;r;6,042;r;5,854;5;
Russia;;59,030;;59,777;;62,710;;65,646;r;66,186;5;
Saudi Arabia;;3,413;;3,570;e;3,944;;3,902;;4,190;;
Serbia and Montenegro;;598;;596;;569;r;1,167;r;1,286;5;
Singaporee;;400;;400;;400;;500;r;600;;
Slovakia;;3,676;;4,275;;4,588;r;4,454;r;4,482;5;
Slovenia;;462;;481;e;541;r;565;r;585;;
South Africa;;8,821;;9,095;;9,481;;9,504;;9,492;5;
Spain;;16,500;;16,358;;16,287;;17,684;;17,711;5;
Sri Lankae;;30;;30;;30;;30;;30;;
