TABLE 10;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;2009;;2010;;2011;;2012;;2013;;
Albania;;440;;390;e;464;;382;r;401;;
Algeria;;543;;696;;440;;500;;440;;
Argentina;;4,014;;5,138;;5,655;;4,995;;5,188;;
Australia;;6,135;;7,140;;6,538;;4,904;r;4,640;;
Austria;;5,662;;7,206;;7,474;;7,421;;7,400;e;
Azerbaijan;;79;;129;;234;r;268;r;280;e;
Belarus;;2,449;;2,672;;2,779;;2,869;r;2,395;;
Belgium;;5,636;;7,973;;8,026;;7,386;;7,093;;
Bosnia and Herzegovina, ingot production;;519;;591;;649;;700;;722;;
Brazil5;;26,506;;33,033;;35,200;;34,682;r;34,700;e;
Bulgaria;;726;;740;;834;;633;;522;;
Burmae;;25;;25;;25;;25;;25;;
Canada;;9,245;;13,003;;12,891;;13,507;;12,400;e;
Chile5;;1,308;;1,011;;1,615;;1,683;;1,321;;
China6;;572,180;;637,230;;685,280;;716,540;;779,040;;
Colombia;;1,079;;1,209;;1,290;;1,324;;1,297;;
Croatia;;52;;103;r;163;r;1;r;--;;
Cubae;;274;;265;;290;;317;;320;;
Czech Republic;;4,594;;5,180;;5,583;;5,072;;5,171;;
Ecuador;;259;;368;;525;;479;;562;;
Egypt;;5,508;;6,700;;6,486;;6,600;;6,754;;
El Salvador;;56;;64;r;100;;72;r;72;e;
Ethiopia, all from scrape;;150;;150;;130;;130;;130;;
Finland;;3,078;;4,029;;3,989;;3,759;;3,517;;
France;;12,836;;15,416;;15,800;;15,607;;15,685;;
Germany;;32,671;;43,830;;44,284;;42,661;;42,641;;
Greece;;2,082;;1,839;r;1,993;r;2,000;r;2,000;e;
Guatemala;;224;;274;r;294;r;334;r;370;;
Hong Konge;;550;;500;;200;;--;;--;;
Hungary;;1,403;;1,678;;1,733;r;1,543;;1,500;e;
India;;63,527;r;68,976;r;73,471;r;77,561;r;81,213;;
Indonesia;;3,500;e;3,700;;3,600;;2,300;r;2,400;e;
Irane;;10,000;;12,000;;13,000;;14,500;;15,400;;
Israele;;380;;430;;430;;430;;430;;
Italy;;19,737;;25,751;;28,700;;27,227;;24,058;;
Japan;;87,534;;109,599;;107,601;;107,232;;110,571;;
Jordane;;150;;150;;150;;100;;100;;
Kazakhstan;;3,324;;3,338;;3,699;;2,606;;2,800;e;
Kenyae;;260;;260;;290;;290;;290;;
