TABLE 10;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY OR LOCALITY1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons, gross weight unless otherwise specified);;;;;;;;;;;;
;;;;;;;;;;;;
Country or locality3;;2013;;2014;;2015;;2016;;2017;;
Afghanistan;;25;r;24;r;3;r;24;e;33;;
Albania;;550;r;560;r;150;r;100;;100;e;
Algeria;;417;;415;;650;;650;;650;e;
Argentina;;5,186;;5,488;;5,028;;4,126;;4,600;;
Australia;;4,731;;4,582;;4,935;;5,259;;5,300;;
Austria;;7,953;;7,876;;7,687;;7,440;r, e;8,100;;
Azerbaijan;;223;;324;;302;;180;;180;e;
Bahraine;;970;;970;;970;;960;r;960;;
Belarus;;2,395;;2,598;;2,579;;2,188;;2,400;;
Belgium;;7,093;;7,331;;7,257;;7,687;;7,800;;
Bosnia and Herzegovina;;722;;792;;796;;806;;806;e;
Brazil4;;34,163;;33,912;;33,300;;31,275;;34,400;;
Bulgaria;;523;;612;;543;;527;;527;e;
Canada;;12,417;;12,730;;12,473;;12,646;;13,600;;
Chile4;;1,323;;1,079;;1,112;;1,153;;1,150;e;
China5;;779,040;;822,300;;803,820;;808,366;;831,700;;
Colombia;;1,236;;1,208;;1,211;;1,272;;1,300;;
Croatia;;135;;167;;122;;--;;--;e;
Cuba;;267;;258;;222;;244;;244;e;
Czechia;;5,171;;5,360;;5,262;;5,305;;4,600;;
Ecuador;;570;;667;;720;;576;;576;e;
Egypt;;6,754;;6,485;;5,506;;5,036;;6,900;;
El Salvador;;118;;121;;124;;100;;100;e;
Ethiopiae;;--;;--;;--;;690;;690;;
Finland;;3,517;;3,807;;3,988;;4,101;;4,000;;
France;;15,685;;16,143;;14,984;;14,413;;15,500;;
Germany;;42,645;;42,943;;42,676;;42,080;;43,400;;
Greece;;1,030;;1,022;;910;;1,158;;1,400;;
Guatemala;;385;;395;;403;;314;;314;e;
Hungary;;883;;1,152;;1,675;;1,274;;1,900;;
India;;81,299;;87,292;;89,026;;95,477;;101,400;;
Indonesia;;2,644;;4,428;;4,854;;4,746;;4,800;e;
Iran;;15,422;;16,331;;16,146;;17,895;;21,200;;
Israele;;300;;300;;300;;300;;300;;
Italy;;23,093;;23,714;;22,000;e;23,373;;24,100;;
Japan;;110,595;;110,666;;105,134;;104,775;;104,700;;
Kazakhstan;;2,738;;2,909;;2,948;;4,236;;4,500;;
Kenya;;360;r;370;r;360;r;410;r, e;430;e;
Korea, North;;1,210;;1,220;;1,079;;1,250;;1,300;e;
Korea, Republic of;;66,061;;71,542;;69,670;;68,576;;71,000;;
Latvia;;198;;--;;--;;--;;--;e;
Libya;;712;;712;;352;;492;;600;;
Luxembourg;;2,090;;2,193;;2,127;;2,175;;2,172;;
Macedonia;;146;;196;;165;;239;r;238;;
Malaysia;;4,693;;4,316;;3,784;;2,764;;2,800;e;
Mauritaniae;;5;;5;;5;;5;;5;;
Mexico;;18,242;;18,930;;18,200;e;18,809;;19,900;;
Moldova;;190;;344;;430;;128;r, e;469;;
Mongoliae;;--;r;--;r;--;r;50;;50;;
Montenegro;;70;;140;;150;;120;;120;e;
Morocco;;558;;500;;516;e;520;;520;e;
Netherlands;;6,713;;6,964;;6,995;;6,917;;6,800;;
New Zealand;;900;e;859;;793;e;577;;577;e;
Nigeriae;;--;;--;;--;;100;;100;;
Norway;;605;e;600;e;590;e;620;;620;e;
Omane;;500;;1,500;;2,000;;2,000;;2,000;;
Pakistan;;1,845;;2,423;;2,892;;3,553;;5,000;;
Paraguay;;45;;47;;48;;35;;24;;
Peru;;1,069;;1,078;;1,082;;1,168;;1,207;;
See footnotes at end of table. ;;;;;;;;;;;;
TABLE 10—Continued;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY OR LOCALITY1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons, gross weight unless otherwise specified);;;;;;;;;;;;
;;;;;;;;;;;;
Country or locality3;;2013;;2014;;2015;;2016;;2017;;
Philippines;;1,308;;1,196;;968;;1,075;;1,080;e;
Poland;;8,199;;8,800;;9,337;;9,001;;10,300;;
Portugal;;2,050;;2,070;;2,030;;2,010;;2,100;e;
Qatar;;2,536;;3,474;;2,593;;2,521;;2,644;;
Romania;;3,071;;3,193;;3,346;;3,276;;3,400;;
Russia;;68,861;;70,548;;69,421;;70,808;;71,300;;
Rwandae;;15;;15;;15;;19;r;23;;
Saudi Arabia;;5,471;;6,291;;5,230;r, e;5,461;;4,800;;
Serbia;;396;;583;;955;;1,173;;1,500;;
Singapore;;434;;540;;501;;520;;520;e;
Slovakia;;4,511;;4,705;;4,562;;4,808;;5,000;;
Slovenia;;618;;615;;604;;613;;613;e;
South Africa;;7,162;;6,412;;6,417;;6,141;;6,300;;
Spain;;14,252;;14,249;;14,845;;13,616;;14,500;;
Sweden;;4,404;;4,539;;4,374;;4,617;;4,700;;
Switzerland;;1,530;;1,475;;1,480;r, e;1,500;;1,500;e;
Syria;;10;;5;;5;;5;;5;e;
Taiwan;;22,282;;23,121;;21,392;;21,751;;22,000;e;
Tanzaniae;;--;;--;;--;;210;;210;;
Thailand;;3,579;;4,095;;3,718;;3,825;;4,500;e;
Trinidad and Tobago;;616;;483;;267;;36;;36;e;
Tunisia;;109;;101;;50;e;50;e;50;e;
Turkey;;34,654;;34,035;;31,517;;33,163;;37,500;;
Ugandae;;30;;30;;30;;30;;30;;
Ukraine;;33,199;r;27,373;r;22,935;;24,128;;21,300;;
United Arab Emirates;;2,878;;2,390;;3,006;;3,149;;3,300;;
United Kingdom;;11,858;;12,120;;10,907;;7,635;;7,500;;
United States;;86,900;;88,200;;78,800;;78,500;;81,600;;
Uruguay;;91;;94;;97;;61;;58;;
Uzbekistan;;746;;751;;643;;654;;654;e;
Venezuela;;2,139;;1,485;;1,345;;553;;553;e;
Vietnam;;3,484;;3,954;;4,122;;7,811;;11,500;;
Zambia;;91;;91;;52;r;45;r;54;e;
 Total;;1,610,000;;1,670,000;;1,620,000;;1,630,000;;1,690,000;;
eEstimated.  rRevised.  -- Zero.;;;;;;;;;;;;
1Table includes data available through September 5, 2018. All data are reported unless otherwise noted. Totals, U.S. data, and estimated data are rounded to no more than three significant digits; may not add to totals shown.;;;;;;;;;;;;
2Steel formed in solid state after melting, suitable for further processing or sale; for some countries, includes material reported as liquid steel, presumably measured in the molten state prior to cooling in any specific form.;;;;;;;;;;;;
3In addition to the countries and (or) localities listed, Hong Kong, Mozambique, and Sri Lanka may have produced steel, but available information was inadequate to make reliable estimates of output.;;;;;;;;;;;;
4Does not include castings.;;;;;;;;;;;;
5Data reported by the State Statistical Bureau and are considered by the Government of China to be  official statistics. ;;;;;;;;;;;;
