TABLE 10;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY OR LOCALITY1, 2;;;;;;;;;
;;;;;;;;;
(Thousand metric tons, gross weight);;;;;;;;;
;;;;;;;;;
Country or locality3;;2014;;2015;;2016;;2017;;2018;;
Afghanistan;;24;;3;;24;;33;;33;e;;;
Albania;;560;;150;;50;r, e;--;r;--;;
Algeria;;415;;650;;650;;415;r;2,000;;
Argentina;;5,488;;5,028;;4,126;;4,624;r;5,162;;
Australia;;4,582;;4,935;;5,160;r;5,335;r;5,689;;
Austria;;7,876;;7,687;;7,438;r;8,134;r;6,885;;
Azerbaijan;;324;;302;;345;r;387;r;382;;
Bahraine;;970;;970;;960;;960;;960;;
Belarus;;2,598;;2,577;r;2,266;r;2,433;r;2,580;;
Belgium;;7,331;;7,257;;7,687;;7,842;r;8,020;;
Bosnia and Herzegovina;;792;;796;;783;r;735;r;695;;
Brazil4;;33,897;r;33,256;r;31,275;;34,350;r;34,735;;
Bulgaria;;612;;543;;493;r;652;r;666;;
Canada;;12,730;;12,473;;12,646;;13,614;r;13,075;;
Chile4;;1,079;;1,112;;1,153;;1,158;r;1,145;;
China5;;822,300;;803,820;;807,610;r;831,700;;928,300;;
Colombia;;1,208;;1,211;;1,272;;1,253;r;1,219;;
Croatia;;167;;122;;--;;--;;--;;
Cuba;;258;;222;;205;r;210;r;222;;
Czechia;;5,360;;5,262;;5,305;;4,600;;4,966;;
Ecuador;;667;;720;;576;;561;r;583;;
Egypt;;6,485;;5,506;;5,036;;6,870;r;7,807;;
El Salvador;;121;;124;;100;;96;r;99;;
Finland;;3,807;;3,988;;4,102;r;4,004;r;4,146;;
France;;16,143;;14,984;;14,413;;15,505;r;15,391;;
Germany;;42,943;;42,674;r;42,081;r;43,910;r;42,440;;
Greece;;1,022;;910;;1,158;;1,359;r;1,464;;
Guatemala;;395;;403;;314;;294;r;300;;
Hungary;;1,152;;1,675;;1,274;;1,901;r;1,988;;
India;;87,292;;89,026;;95,477;;101,455;r;106,463;;
Indonesia;;4,428;;4,854;;4,746;;5,195;r;6,060;e;;;
Iran;;16,331;;16,146;;17,895;;21,236;r;25,000;;
Israele;;300;;300;;300;;300;;300;;
Italy;;23,714;;22,018;r;23,373;;24,068;r;24,475;;
Japan;;110,666;;103,134;r;104,775;;104,661;r;104,319;;
Kazakhstan;;2,909;;2,948;;3,175;r;3,412;r;3,350;;
Kenya;;370;;360;;410;e;430;e;430;e;;;
Korea, North;;1,220;;1,079;;1,220;r;1,090;r;1,100;e;;;
Korea, Republic of;;71,542;;69,670;;68,575;r;71,030;r;72,463;;
Libya;;750;r;389;r;538;r;485;r;442;;
Luxembourg;;2,193;;2,127;;2,175;;2,172;;2,245;;
Macedonia;;196;;165;;239;;238;;265;;
Malaysia;;4,316;;3,784;;2,764;;3,215;r;3,200;;
Mauritaniae;;5;;5;;5;;5;;5;;
Mexico;;18,900;r, e;18,218;r;18,809;;19,924;r;20,110;;
Moldova;;344;;430;;128;;469;;503;;
Mongolia;;64;r;44;r;17;r;21;r;29;;
Montenegro;;140;e;150;;120;e;200;r, e;200;e;;;
Morocco;;501;r;516;;520;;550;r;550;e;;;
Netherlands;;6,964;;6,995;;6,917;;6,781;r;6,813;;
New Zealand;;859;;793;;577;;657;r;652;;
Nigeriae;;600;r;620;r;620;r;620;r;620;;
Norway;;600;;590;;620;;603;r;575;;
Omane;;1,500;;2,000;;2,000;;2,000;;2,000;;
Pakistan;;2,420;r, e;2,890;r, e;3,553;;4,966;r;4,760;;
Paraguay;;47;;48;;35;;24;;25;;
Peru;;1,078;;1,082;;1,168;;1,207;;1,217;;
Philippines;;1,196;;968;;1,075;;1,378;r;1,370;;
See footnotes at end of table.;;;;;;;;;
TABLE 10—Continued;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY OR LOCALITY1, 2;;;;;;;;;
;;;;;;;;;
(Thousand metric tons, gross weight);;;;;;;;;
;;;;;;;;;
Country or locality3;;2014;;2015;;2016;;2017;;2018;;
Poland;;8,800;;9,336;r;9,161;r;10,540;r;10,336;;
Portugal;;2,070;;2,030;;2,010;;2,076;r;2,215;;
Qatar;;2,867;r;2,594;r;2,521;;2,645;r;2,700;e;;;
Romania;;3,193;;3,423;r;3,370;r;3,443;r;3,624;;
Russia;;70,548;;69,422;r;70,808;;71,300;;71,680;;
Rwandae;;15;;15;;19;;23;;23;;
Saudi Arabia;;6,291;;5,230;e;5,461;;4,831;r;5,240;;
Serbia;;583;;955;;1,173;;1,477;r;1,973;;
Singapore;;540;;501;;520;;596;r;600;;
Slovakia;;4,705;;4,562;;4,808;;4,974;r;5,225;;
Slovenia;;615;;604;;613;;648;r;654;;
South Africa;;6,412;;6,417;;6,141;;6,301;r;6,327;;
Spain;;14,249;;14,845;;13,616;;14,444;r;14,298;;
Sweden;;4,540;r, e;4,370;r, e;4,620;r, e;4,926;r;4,654;;
Switzerland;;1,475;;1,480;e;1,500;;1,450;r, e;1,500;e;;;
Syriae;;5;;5;;5;;5;;5;;
Taiwan;;23,121;;21,392;;21,751;;22,438;r;23,230;;
Tanzaniae;;190;r;210;r;230;r;250;r;250;;
Thailand;;4,095;;3,720;r;3,824;r;4,471;r;4,315;;
Trinidad and Tobago;;483;;267;;--;r;--;r;--;;
Tunisia;;101;;50;;92;r;50;e;83;;
Turkey;;34,035;;31,517;;33,163;;37,524;r;37,312;;
Ugandae;;66;r;72;r;71;r;71;r;71;;
Ukraine;;27,373;;22,935;;24,197;r;21,334;r;21,100;;
United Arab Emirates;;2,390;;3,006;;3,149;;3,309;r;3,247;;
United Kingdom;;12,120;;10,907;;7,635;;7,491;r;7,685;;
United States;;88,200;;78,800;;78,500;;81,600;;86,600;;
Uruguay;;94;;97;e;61;;58;;60;;
Uzbekistan;;751;;643;;654;;657;r;680;;
Venezuela;;1,485;;1,345;;553;;444;r;129;;
Vietnam;;3,954;;4,093;r;7,805;r;11,473;r;17,723;;
Zambia;;86;r;52;;45;;54;e;75;e;;;
 Total;;1,670,000;;1,620,000;;1,630,000;;1,690,000;;1,810,000;;
eEstimated.  rRevised.  -- Zero.;;;;;;;;;
1Table includes data available through August 29, 2019. All data are reported unless otherwise noted. Totals, U.S. data and estimated data are rounded to no more than three significant digits; may not add to totals shown.;;;;;;;;;
2Steel formed in solid state after melting, suitable for further processing or sale; for some countries, includes material reported as liquid steel, presumably measured in the molten state prior to cooling in any specific form.;;;;;;;;;
3In addition to the countries and (or) localities listed, Hong Kong, Mozambique, and Sri Lanka may have produced steel, but available information was inadequate to make reliable estimates of output.;;;;;;;;;
4Does not include castings.;;;;;;;;;
5Data reported by the State Statistical Bureau and are considered by the Government of China to be official statistics. ;;;;;;;;;
