TABLE 10;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY OR LOCALITY1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons, gross weight unless otherwise specified);;;;;;;;;;;;
;;;;;;;;;;;;
Country or locality3;;2015;;2016;;2017;;2018;;2019;;
Afghanistan;;3;;24;;33;;33;e;33;e;
Albania;;150;;50;e;--;;--;;--;;
Algeria;;650;;650;;415;;2,000;e;2,000;e;
Argentina;;5,028;;4,126;;4,624;;5,162;;4,645;;
Australia;;4,935;;5,160;;5,335;;6,035;r;5,493;;
Austria;;7,687;;7,438;;8,134;;6,885;;7,423;;
Azerbaijan;;302;;345;;387;;382;;326;;
Belarus;;2,577;;2,266;;2,433;;2,573;r;2,718;;
Belgium;;7,257;;7,687;;7,842;;7,980;r;7,905;;
Bosnia and Herzegovina;;796;;783;;735;;695;;801;;
Brazil;;33,258;r;31,642;r;34,778;r;35,407;r;32,236;;
Bulgaria;;543;;493;;652;;666;;595;;
Canada;;12,473;;12,646;;13,208;r;13,443;r;12,790;;
Chile;;1,112;;1,153;;1,158;;1,145;;1,095;;
China;;803,820;;807,610;4;870,740;r, 4;920,027;r;996,342;;
Colombia;;1,211;;1,272;;1,253;;1,219;;1,200;;
Croatia;;122;;--;;--;;--;;--;;
Cuba;;222;;205;;210;;222;;235;;
Czechia;;5,262;;5,305;;4,550;r;4,938;r;4,563;;
Ecuador;;720;;576;;561;;583;;605;;
Egypt;;5,506;;5,036;;6,870;;7,807;;7,257;;
El Salvador;;124;;100;;96;;99;;105;;
Finland;;3,988;;4,102;;4,004;;4,146;;3,473;;
France;;14,984;;14,413;;15,505;;15,391;;14,451;;
Germany;;42,674;;42,081;;43,297;r;42,435;r;39,675;;
Greece;;910;;1,158;;1,359;;1,464;;1,367;;
Guatemala;;403;;314;;294;;300;;310;;
Hungary;;1,675;;1,274;;1,901;;1,988;;1,770;;
India;;89,026;;95,477;;101,455;;109,272;r;111,246;;
Indonesia;;4,854;;4,746;;5,195;;6,183;r;6,400;e;
Iran;;16,146;;17,895;;21,236;;24,520;r;31,900;;
Italy;;22,018;;23,373;;24,068;;24,532;r;23,245;;
Japan;;103,134;;104,775;;104,661;;104,319;;99,284;;
Kazakhstan;;2,948;;3,175;;3,412;;3,964;r;4,085;;
Kenyae;;360;;410;;430;;440;r;440;;
Korea, North;;1,079;;1,220;;1,090;;810;r;800;e;
Korea, Republic of;;69,670;;68,575;;71,030;;72,463;;71,421;;
Libya;;389;;538;;485;;396;r;606;;
Luxembourg;;2,127;;2,175;;2,172;;2,228;r;2,200;;
Macedonia;;165;;239;;238;;265;;239;;
Malaysia;;3,784;;2,764;;3,215;;4,110;r;4,520;e;
Mauritaniae;;5;;5;;5;;5;;5;;
Mexico;;18,218;;18,809;;19,924;;20,204;r;18,595;;
Moldova;;430;;128;;469;;503;;360;;
Mongolia;;44;;17;;21;;29;;28;;
Montenegroe;;150;;120;;120;r;120;r;120;;
Morocco;;516;;520;;550;;600;r;600;e;
Netherlands;;6,995;;6,917;;6,781;;6,813;;6,657;;
New Zealand;;793;;577;;657;;652;;667;;
Nigeriae;;620;;620;;620;;640;r;630;;
Norway;;590;;620;;603;;575;;621;;
Omane;;2,000;;2,000;;2,000;;2,000;;2,000;;
Pakistan;;2,890;e;3,553;;4,966;;4,719;r;3,313;;
Paraguay;;48;;35;;24;;25;;26;;
Peru;;1,082;;1,168;;1,207;;1,217;;1,240;;
Philippines;;968;;1,075;;1,378;;1,475;r;1,400;;
Poland;;9,336;;9,161;;10,540;;10,336;;9,065;;
Portugal;;2,030;;2,010;;2,076;;2,215;;2,000;;
Qatar;;2,594;;2,521;;2,645;;2,575;r;2,558;;
Romania;;3,423;;3,370;;3,443;;3,529;r;3,432;;
Russia;;69,422;;70,808;;71,300;;71,682;r;71,570;;
Rwandae;;15;;19;;23;;23;;23;;
Saudi Arabia;;5,230;e;5,461;;4,831;;5,240;;5,095;;
Serbia;;955;;1,173;;1,477;;1,973;;1,929;;
Singapore;;501;;520;;596;;618;r;600;e;
Slovakia;;4,562;;4,808;;4,974;;5,225;;5,300;;
Slovenia;;604;;613;;648;;654;;645;;
South Africa;;6,417;;6,141;;6,301;;6,327;;5,666;;
Spain;;14,845;;13,616;;14,444;;14,320;r;13,581;;
Sweden;;4,370;e;4,617;r;4,926;;4,654;;4,721;;
Switzerland;;1,475;r;1,500;;1,450;;1,500;e;1,500;;
Syriae;;5;;5;;5;;5;;5;;
Taiwan;;21,392;;21,751;;22,438;;23,240;r;22,065;;
Tanzaniae;;210;;230;;250;;300;r;300;;
Thailand;;3,720;;3,824;;4,471;;6,403;r;4,190;;
Trinidad and Tobago;;267;;--;;--;;--;;--;;
Tunisia;;50;;92;;74;r;84;r;64;;
Turkey;;31,517;;33,163;;37,524;;37,312;;33,743;;
Uganda;;120;r, e;140;r, e;165;r;170;r, e;165;e;
Ukraine;;22,935;;24,197;;21,334;;21,060;r;20,848;;
United Arab Emirates;;3,006;;3,149;;3,309;;3,247;;3,327;;
United Kingdom;;10,907;;7,635;;7,491;;7,268;r;7,225;;
United States;;78,800;;78,500;;81,600;;86,600;;87,800;;
Uruguay;;97;;61;;60;r;60;;62;;
Uzbekistan;;643;;654;;657;;646;r;625;;
Venezuela;;1,345;;553;;444;;129;;50;;
Vietnam;;4,093;;7,805;;11,473;;17,723;;14,008;;
Zambia;;52;;45;;54;e;75;e;75;e;
Total;;1,610,000;r;1,630,000;;1,730,000;r;1,810,000;;1,860,000;;
