TABLE 10;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION BY COUNTRY OR LOCALITY1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country or locality3;;2016;;2017;;2018;;2019;;2020;;
Afghanistan;;24;;33;;33;e;33;e;29;;
Albania;;50;e;338;r;396;r;406;r;390;e;;;
Algeria;;650;;415;;2,000;e;2,400;r;4,000;e;;;
Argentina;;4,126;;4,624;;5,162;;4,645;;3,651;;
Australia;;5,160;;5,335;;6,035;;6,052;r;5,527;;
Austria;;7,438;;8,134;;6,885;;7,423;;6,765;;
Azerbaijan;;345;;387;;382;;326;;200;;
Belarus;;2,266;;2,433;;2,573;;2,718;;2,482;;
Belgium;;7,687;;7,842;;7,980;;7,905;;6,119;;
Bosnia and Herzegovina;;783;;735;;695;;801;;759;;
Brazil;;31,642;;34,778;;35,407;;32,236;;31,415;;
Bulgaria;;493;;652;;666;;595;;484;;
Burmae;;200;;250;;300;;350;;350;;
Canada;;12,646;;13,208;;13,443;;12,790;;10,986;;
Chile;;1,153;;1,158;;1,145;;1,095;;1,157;;
China;;807,610;4;870,740;4;920,027;;996,342;;1,056,970;;
Colombia;;1,272;;1,253;;1,219;;1,200;;1,149;;
Croatia;;--;;--;;136;r;100;r;45;;
Cuba;;205;;210;;222;;235;;185;;
Czechia;;5,305;;4,550;;4,864;r;4,437;r;4,465;;
Ecuador;;576;;561;;583;;605;;482;;
Egypt;;5,036;;6,870;;7,807;;7,257;;8,229;;
El Salvador;;100;;96;;99;;105;;82;;
Finland;;4,102;;4,004;;4,146;;3,511;r;3,482;;
France;;14,413;;15,505;;15,387;r;14,451;;11,596;;
Germany;;42,081;;43,297;;42,435;;39,675;;36,658;;
Greece;;1,158;;1,359;;1,464;;1,367;;1,408;;
Guatemala;;314;;294;;300;;310;;243;;
Hungary;;1,274;;1,901;;1,989;r;1,769;r;1,513;;
India;;95,477;;101,455;;109,272;;111,246;;100,259;;
Indonesia;;4,746;;5,195;;6,183;;7,783;r;930;;
Iran;;17,895;;21,236;;24,520;;25,609;r;29,019;;
Italy;;23,373;;24,068;;24,532;;23,245;;20,379;;
Japan;;104,775;;104,661;;104,319;;99,284;;83,195;;
Jordane;;330;;330;;350;;350;;350;;
Kazakhstan;;3,175;;3,412;;3,964;;4,085;;3,892;;
Kenyae;;410;;430;;460;r;480;r;480;;
Korea, North;;1,220;;1,090;;810;;680;r;1,250;e;;;
Korea, Republic of;;68,575;;71,030;;72,463;;71,411;r;67,098;;
Libya;;538;;485;;396;;606;;495;;
Luxembourg;;2,175;;2,172;;2,228;;2,119;r;1,886;;
Macedonia;;239;;238;;265;;239;;180;;
Malaysia;;2,764;;3,215;;4,108;r;6,820;r;7,100;e;;;
Mauritaniae;;5;;5;;5;;5;;5;;
Mexico;;18,809;;19,924;;20,204;;18,595;;16,803;;
Moldova;;128;;469;;503;;360;;465;;
Mongolia;;17;;21;;29;;28;;26;e;;;
Montenegroe;;120;;120;;100;r;75;r;50;;
Morocco;;520;;550;;520;r;500;r;480;e;;;
Netherlands;;6,917;;6,781;;6,813;;6,657;;6,054;;
New Zealand;;577;;657;;652;;667;;586;;
Nigeriae;;100;r;100;r;100;r;100;r;100;;
Norway;;620;;603;;575;;621;;624;;
Omane;;2,000;;2,000;;2,000;;2,000;;2,000;;
Pakistan;;3,553;;4,966;;4,719;;3,313;;3,803;;
Paraguay;;35;;24;;25;;26;;23;;
Peru;;1,168;;1,207;;1,217;;1,230;r;731;;
Philippines;;1,075;;1,378;;1,475;;1,915;r;1,900;;
Poland;;9,161;;10,540;;10,336;;9,123;r;7,856;;
Portugal;;2,010;;2,076;;2,215;;2,000;;2,200;;
Qatar;;2,521;;2,645;;2,575;;2,558;;1,218;;
Romania;;3,370;;3,443;;3,529;;3,432;;2,790;;
Russia;;70,808;;71,300;;71,682;;71,570;;71,621;;
Rwandae;;19;;23;;23;;23;;20;;
Saudi Arabia;;5,461;;4,831;;8,187;r;8,191;r;7,775;;
Serbia;;1,173;;1,477;;1,973;;1,929;;1,456;;
Singapore;;520;;596;;618;;766;r;406;;
Slovakia;;4,808;;4,974;;5,496;r;5,366;r;3,420;e;;;
Slovenia;;613;;648;;654;;645;;585;;
South Africa;;6,141;;6,301;;6,327;;6,152;r;3,877;;
Spain;;13,616;;14,441;r;14,320;;13,588;r;10,998;;
Sri Lanka;;30;;30;e;36;e;30;e;30;e;;;
Sweden;;4,617;;4,926;;4,654;;4,721;;4,409;;
Switzerland;;1,500;;1,450;;1,500;e;1,500;e;1,175;e;;;
Syriae;;5;;5;;5;;40;r;50;;
Taiwan;;21,751;;22,438;;23,240;;21,954;r;20,959;;
Tanzaniae;;230;;250;;300;;300;;230;;
Thailand;;5,400;r;6,762;r;6,403;;7,300;r, e;4,457;;
Tunisia;;92;;74;;84;;77;r;84;;
Turkey;;33,163;;37,524;;37,312;;33,743;;35,810;;
Uganda;;140;e;165;;150;r, e;210;r;100;e;;;
Ukraine;;24,197;;21,334;;21,101;r;20,848;;20,626;;
United Arab Emirates;;3,149;;3,309;;3,247;;3,327;;2,722;;
United Kingdom;;7,635;;7,491;;7,268;;7,225;;7,086;;
United States;;78,500;;81,600;;86,600;;87,800;;72,700;;
Uruguay;;61;;60;;60;;62;;49;;
Uzbekistan;;654;;657;;646;;625;;939;;
Venezuela;;553;;444;;129;;50;;29;;
Vietnam;;7,805;;11,473;;17,723;;20,066;r;16,890;;
Zambia;;45;;54;e;75;e;75;e;50;e;;;
Total;;1,630,000;;1,730,000;;1,820,000;r;1,880,000;r;1,860,000;;
eEstimated.  rRevised.  -- Zero.;;;;;;;;;;;;
1Table includes data available through August 9, 2021. All data are reported unless otherwise noted; totals may include estimated data. Totals, U.S. data, and estimated data are rounded to no more than three significant digits; may not add to totals shown.;;;;;;;;;;;;
2Steel formed in solid state after melting, suitable for further processing or sale; for some countries and (or) localities, includes material reported as "liquid steel" presumably measured in the molten state prior to cooling in any specific form.;;;;;;;;;;;;
3In addition to the countries and (or) localities listed, Hong Kong, and Mozambique, may have produced steel, but available information was inadequate to make reliable estimates of output.;;;;;;;;;;;;
4Figures reported by the State Statistical Bureau that the Government of China considers as official statistical data.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
