code;country;year;value
ALB;Albania;2001;94
DZA;Algeria;2001;850
AGO;Angola;2001;NA
ARG;Argentina;2001;4107
AUS;Australia;2001;7600
AUT;Austria;2001;5887
AZE;Azerbaijan;2001;NA
BGD;Bangladesh;2001;30
BLR;Belarus;2001;1500
BEL;Belgium;2001;10783
BIH;Bosnia and Herzegovina;2001;84
BRA;Brazil;2001;26717
BGR;Bulgaria;2001;1942
MMR;Burma;2001;24
CAN;Canada;2001;16300
CHL;Chile;2001;1247
CHN;China;2001;151630
COL;Colombia;2001;638
HRV;Croatia;2001;58
CUB;Cuba;2001;270
CZE;Czechia;2001;6316
DNK;Denmark;2001;746
DOM;Dominican Republic;2001;36
ECU;Ecuador;2001;60
EGY;Egypt;2001;3800
SLV;El Salvador;2001;39
FIN;Finland;2001;3938
FRA;France;2001;19431
GEO;Georgia;2001;5
DEU;Germany;2001;44775
GHA;Ghana;2001;75
GRC;Greece;2001;1281
GTM;Guatemala;2001;202
HKG;Hong Kong;2001;500
HUN;Hungary;2001;2056
IND;India;2001;27291
IDN;Indonesia;2001;2780
IRN;Iran;2001;6900
IRQ;Iraq;2001;50
IRL;Ireland;2001;110
ISR;Israel;2001;220
ITA;Italy;2001;26483
JPN;Japan;2001;102866
JOR;Jordan;2001;30
KAZ;Kazakhstan;2001;4691
KEN;Kenya;2001;NA
PRK;Korea, North;2001;1000
KOR;Korea, Republic of;2001;43852
LVA;Latvia;2001;510
LBY;Libya;2001;846
LUX;Luxembourg;2001;2725
;Macedonia;2001;50
MYS;Malaysia;2001;4100
MEX;Mexico;2001;13292
MDA;Moldova;2001;966
MAR;Morocco;2001;5
NLD;Netherlands;2001;6037
NZL;New Zealand;2001;770
NGA;Nigeria;2001;NA
NOR;Norway;2001;635
PAK;Pakistan;2001;500
PRY;Paraguay;2001;71
PER;Peru;2001;750
PHL;Philippines;2001;530
POL;Poland;2001;8809
PRT;Portugal;2001;728
QAT;Qatar;2001;908
ROU;Romania;2001;4930
RUS;Russia;2001;59030
SAU;Saudi Arabia;2001;3413
SRB;Serbia;2001;598
SGP;Singapore;2001;400
SVK;Slovakia;2001;3676
SVN;Slovenia;2001;462
ZAF;South Africa;2001;8821
ESP;Spain;2001;16500
LKA;Sri Lanka;2001;30
SWE;Sweden;2001;5518
CHE;Switzerland;2001;1000
SYR;Syria;2001;70
TWN;Taiwan;2001;17336
THA;Thailand;2001;2127
TTO;Trinidad and Tobago;2001;696
TUN;Tunisia;2001;239
TUR;Turkey;2001;14900
UGA;Uganda;2001;7
UKR;Ukraine;2001;33110
GBR;United Kingdom;2001;13610
USA;United States;2001;90100
URY;Uruguay;2001;31
UZB;Uzbekistan;2001;460
VEN;Venezuela;2001;3813
VNM;Vietnam;2001;319
ZWE;Zimbabwe;2001;156
WLD;Total;2001;847000
ALB;Albania;2002;100
DZA;Algeria;2002;1091
ARG;Argentina;2002;4363
AUS;Australia;2002;8242
AUT;Austria;2002;6208
BGD;Bangladesh;2002;30
BLR;Belarus;2002;1500
BEL;Belgium;2002;11495
BIH;Bosnia and Herzegovina;2002;85
BRA;Brazil;2002;29605
BGR;Bulgaria;2002;1860
MMR;Burma;2002;24
CAN;Canada;2002;16300
CHL;Chile;2002;1279
