pgnw_psl;pgnw_pis;pgn_po;pgnw;psl;pis;po;teryt;powiat;powiatsrodek;bbpowiat
0.8536293081;-0.538541547;-0.578951943;13.145897;10.252708;22.147607;28.045797;2472;m.Ruda Śląska;50.2558286 18.8555704;50.3315991 18.956102 50.2084421 18.7912491
0.7847814686;-0.446722711;-0.655613781;18.415166;22.244376;37.182745;16.855166;1434;wołomiński;52.3635504 21.2897822;52.5561389 21.7379828 52.2560667 21.0681005
0.7841635427;-0.460951734;-0.722738205;6.165926;4.574093;27.292453;41.154940;1465;m.Warszawa;52.2296756 21.0122287;52.3679992 21.2710983 52.0978767 20.8512898
0.7704812002;-0.211005583;-0.504664741;19.868947;13.068631;20.213237;49.873599;2204;gdański;54.183493 18.5707092;54.3459454 18.9482919 54.10319 18.2163148
0.7480695513;-0.237761673;-0.406746453;20.487260;19.553065;32.349660;21.766138;1006;łódzki wschodni;51.6705147 19.6225076;51.864593 19.9830021 51.5076841 19.4189109
0.7307431325;-0.798523557;-0.809258034;16.894000;10.041033;19.383677;28.252197;2476;m.Świętochłowice;50.2964328 18.9171297;50.3247743 18.936312 50.2708341 18.8828955
0.7212358754;-0.406716927;-0.522150510;23.750000;20.201806;18.300231;40.874134;0214;oleśnicki;51.251709 17.530923;51.4568679 17.798917 51.0513761 17.2382375
0.7206845680;-0.453078468;-0.529953887;9.539423;14.728551;39.506617;30.635434;1262;m.Nowy Sącz;49.6174535 20.7153326;49.6579511 20.7621654 49.55641 20.6469789
0.6943695019;-0.348529296;-0.662133997;22.098750;16.595987;17.250040;47.683966;0222;wołowski;51.3910837 16.6003543;51.5180089 16.8122721 51.2262609 16.4157142
0.6896911757;-0.298084917;-0.487571175;9.843583;12.134707;22.076822;47.332275;2262;m.Gdynia;54.5188898 18.5305409;54.5846733 18.5690511 54.422913 18.3577425
0.6890760812;-0.425640185;-0.336199573;29.048571;38.877898;19.458389;25.972053;3218;łobeski;53.6478187 15.4845879;53.8822459 15.7994762 53.4682361 15.1443939
0.6869410867;-0.358619048;-0.583076455;23.137800;22.744415;19.039304;37.773070;3215;szczecinecki;53.7263402 16.5362134;54.005365 16.9822089 53.4703748 16.1959131
