tryb;runda;teryt;kto;komitet;glosy;prc;glosyN;wynik
M;R1;020101;ROMAN Piotr;Komitet Wyborczy Wyborców Piotra Romana;6718;52.03;;Tak
M;R1;020101;MAŁKOWSKI Maciej Stanisław;Komitet Wyborczy Wyborców Ziemia Bolesławiecka;3932;30.45;;DR
M;R1;020101;ŻAK Piotr Przemysław;Komitet Wyborczy Wyborców Platforma Samorządowa Powiatu Bolesławieckiego;1234;9.56;;Nie
M;R1;020101;POGODA Szymon Marek;Komitet Wyborczy Prawo i Sprawiedliwość;863;6.68;;Nie
M;R1;020101;MOSZCZYŃSKI Przemysław;Komitet Wyborczy Wyborców Wasza Rada;165;1.28;;Nie
M;R1;020102;DUTKOWSKI Andrzej Zbigniew;Komitet Wyborczy Wyborców Andrzeja Dutkowskiego;2889;59.95;;Tak
M;R1;020102;ZATYLNY Krzysztof Michał;Komitet Wyborczy Wyborców Dobra Gmina;1930;40.05;;DR
M;R1;020103;PAWLISZCZY Dariusz Oleś;Komitet Wyborczy Wyborców Dariusza Pawliszczy;1820;64.15;;Tak
M;R1;020103;ANDRUCHOWSKI Piotr;Komitet Wyborczy Wyborców Piotra Andruchowskiego;478;16.85;;DR
M;R1;020103;ROZPĘDOWSKA Elżbieta;Komitet Wyborczy Prawo i Sprawiedliwość;394;13.89;;Nie
M;R1;020103;SKRZYPEK Jan;Komitet Wyborczy Wyborców Nowoczesna Przyjazna Gmina Jana Skrzypek;98;3.45;;Nie
M;R1;020103;KAŹMIERCZAK Andrzej;Komitet Wyborczy Wyborców Grażyny Kaźmierczak;47;1.66;;Nie
M;R1;020104;RELICH Robert Marek;Komitet Wyborczy Wyborców Roberta Relicha;2682;55.31;;Tak
M;R1;020104;KATA Józef;Komitet Wyborczy Wyborców Platforma Samorządowa Powiatu Bolesławieckiego;1538;31.72;;DR
M;R1;020104;ZAREMBECKI Tadeusz;Koalicyjny Komitet Wyborczy SLD Lewica Razem;629;12.97;;Nie
