M;R1;020101;ROMAN Piotr;Komitet Wyborczy Wyborców Piotra Romana;6718;52.03;;Tak
M;R1;020102;DUTKOWSKI Andrzej Zbigniew;Komitet Wyborczy Wyborców Andrzeja Dutkowskiego;2889;59.95;;Tak
M;R1;020103;PAWLISZCZY Dariusz Oleś;Komitet Wyborczy Wyborców Dariusza Pawliszczy;1820;64.15;;Tak
M;R1;020104;RELICH Robert Marek;Komitet Wyborczy Wyborców Roberta Relicha;2682;55.31;;Tak
S;R1;020105;NALAZEK Waldemar Jerzy;Komitet Wyborczy Wyborców Nasza Gmina Osiecznica;2172;100.00;;Tak
S;R1;020106;HANISZEWSKI Mirosław Kazimierz;Komitet Wyborczy Wyborców „Nasz Człowiek - Pewna Przyszłość”;2483;100.00;;Tak
M;R1;020202;KUCHARSKI Dariusz;Komitet Wyborczy Wyborców Dariusza Kucharskiego;5656;59.37;;Tak
M;R1;020205;CHMIELEWSKI Marek Jan;Komitet Wyborczy Wyborców Marka Chmielewskiego;2454;70.05;;Tak
M;R1;020206;SZPOT Janusz;Komitet Wyborczy Wyborców Janusza Szpota;1821;57.55;;Tak
M;R1;020207;KOSOWSKI Grzegorz Józef;Komitet Wyborczy Wyborców Porozumienie 2014;1440;65.28;;Tak
M;R1;020303;GOLBA Lesław Julian;Komitet Wyborczy Wyborców LESŁAWA GOLBY;1173;51.22;;Tak
S;R1;020304;HORBATOWSKI Łukasz;Komitet Wyborczy Wyborców RAZEM DLA GMINY KOTLA;1321;100.00;;Tak
S;R1;020305;JURKOWSKI Artur Andrzej;Komitet Wyborczy Wyborców Artura Jurkowskiego;598;100.00;;Tak
M;R1;020306;WOŁOSZYN Krzysztof Piotr;Komitet Wyborczy Wyborców Krzysztofa Wołoszyna;1339;82.86;;Tak
M;R1;020404;STUCZYK Zbigniew Stanisław;Komitet Wyborczy Wyborców FORUM 2014 WĄSOSZ;1799;56.39;;Tak
M;R1;020502;WROŃSKI Jarosław Stanisław;Komitet Wyborczy Wyborców INICJATYWA SPOŁECZNA OPOKA;2462;56.92;;Tak
M;R1;020503;BRZOZOWSKI Mirosław Kazimierz;Komitet Wyborczy Wyborców PRZYJAZNA GMINA;1435;56.39;;Tak
S;R1;020504;FORYŚ Mariusz Damian;Komitet Wyborczy Wyborców „GMINA Z PRZYSZŁOŚCIĄ”;1320;100.00;;Tak
M;R1;020505;OSZCZĘDA Sebastian Paweł;Komitet Wyborczy Wyborców SEBASTIANA OSZCZĘDY;977;63.11;;Tak
M;R1;020506;JEDLECKA Elżbieta Barbara;Komitet Wyborczy Polskie Stronnictwo Ludowe;948;56.03;;Tak
M;R1;020605;KOWALSKI Kamil Daniel;Komitet Wyborczy Wyborców Kamila Kowalskiego;1094;71.74;;Tak
M;R1;020606;DUDEK EDWARD JAN;Komitet Wyborczy Wyborców Samorządność;1495;55.51;;Tak
M;R1;020607;ORMAN Michał;Komitet Wyborczy Wyborców Bliżej Ludzi;2732;75.01;;Tak
M;R1;020609;ŚWIĄTEK Zofia Małgorzata;Komitet Wyborczy Wyborców Nasza Gmina Stara Kamienica;1068;53.78;;Tak
M;R1;020704;ZAWIERUCHA Stefan Adam;Komitet Wyborczy Wyborców Porozumienie i Praca;1406;65.55;;Tak
M;R1;020804;KILIŃSKI Tomasz Jacek;Komitet Wyborczy Wyborców Tomasz Kiliński;4466;62.66;;Tak
M;R1;020806;SURMA Renata Lucyna;Komitet Wyborczy Wyborców Renaty Surmy;4438;56.70;;Tak
M;R1;020811;MIERZEJEWSKA Adrianna;Komitet Wyborczy Wyborców Przełom 2014;2451;57.56;;Tak
M;R1;020812;BEDNARCZYK Jan Karol;Komitet Wyborczy Wyborców Odnowa dla Radkowa;2655;75.81;;Tak
S;R1;020813;ŁOPUSIEWICZ Zbigniew;Komitet Wyborczy Wyborców Gospodarna Gmina;1365;100.00;;Tak
M;R1;020814;SZPANIER Marek;Komitet Wyborczy Wyborców Marka Szpaniera;2099;83.99;;Tak
M;R1;020901;SERKIES Jan;Komitet Wyborczy Wyborców ROZWÓJ CHOJNOWA;3249;68.16;;Tak
M;R1;020903;CASTAŇEDA TRUJILLO Beata;Komitet Wyborczy Wyborców „DOBRO WSPÓLNE”;1051;73.81;;Tak
