razem;teryt;rok
1;161101;2018
2;220101;2018
4;100904;2018
5;141601;2018
5;143301;2018
2;140311;2018
4;141301;2018
1;241202;2018
5;141214;2018
2;041813;2018
3;302902;2018
2;241605;2018
2;181601;2018
1;241714;2018
4;101302;2018
2;022104;2018
2;060506;2018
2;302806;2018
2;040806;2018
2;081105;2018
4;041606;2018
2;141209;2018
2;060902;2018
5;321001;2018
3;161002;2018
3;240501;2018
3;241609;2018
3;280505;2018
2;300803;2018
4;121508;2018
2;121105;2018
2;121107;2018
3;280805;2018
2;040307;2018
2;320204;2018
4;061811;2018
4;041411;2018
1;201103;2018
4;060310;2018
2;260305;2018
3;181006;2018
2;141507;2018
1;061303;2018
6;320504;2018
2;020402;2018
7;302308;2018
2;022105;2018
5;086101;2018
2;142904;2018
5;301504;2018
3;301807;2018
3;040108;2018
4;142803;2018
2;021703;2018
2;040207;2018
1;180205;2018
4;020101;2018
1;080103;2018
4;281102;2018
3;143308;2018
4;021302;2018
2;100301;2018
1;180410;2018
1;160912;2018
3;182101;2018
2;141406;2018
3;200308;2018
3;100209;2018
2;143002;2018
4;141206;2018
4;143409;2018
1;221102;2018
5;062005;2018
4;040205;2018
4;180301;2018
5;120709;2018
2;241705;2018
4;180201;2018
1;141511;2018
3;101202;2018
2;060303;2018
2;320602;2018
6;247501;2018
5;281701;2018
1;261103;2018
2;200305;2018
2;200803;2018
1;180708;2018
2;022507;2018
2;180406;2018
7;321701;2018
3;101807;2018
1;200904;2018
2;062006;2018
4;120301;2018
2;180505;2018
2;241405;2018
4;241304;2018
2;321604;2018
3;280601;2018
1;020305;2018
4;320603;2018
3;280304;2018
1;041407;2018
3;140903;2018
1;040808;2018
3;200401;2018
2;181402;2018
2;142004;2018
2;021007;2018
2;061002;2018
4;080805;2018
2;121003;2018
2;280405;2018
1;161104;2018
2;060703;2018
3;121612;2018
1;020901;2018
5;321402;2018
2;101904;2018
2;160902;2018
2;201306;2018
2;321302;2018
2;302703;2018
4;060802;2018
2;320807;2018
3;120510;2018
4;120303;2018
3;080202;2018
1;300807;2018
4;321506;2018
1;121602;2018
2;121206;2018
2;061703;2018
2;061905;2018
6;300901;2018
4;221312;2018
2;121502;2018
3;041506;2018
4;040605;2018
5;141003;2018
4;301003;2018
4;140202;2018
4;221605;2018
4;321406;2018
1;180604;2018
4;021503;2018
1;041904;2018
4;280905;2018
4;321104;2018
2;060706;2018
2;280605;2018
1;300703;2018
2;141706;2018
2;141914;2018
2;121609;2018
8;247801;2018
2;301014;2018
3;022502;2018
4;200705;2018
1;121204;2018
4;040809;2018
2;200805;2018
4;240406;2018
2;141102;2018
3;080408;2018
3;301501;2018
2;181905;2018
2;240402;2018
2;142106;2018
4;260904;2018
1;302706;2018
5;301904;2018
1;041402;2018
3;040101;2018
2;181611;2018
2;061409;2018
3;180508;2018
2;080405;2018
4;200107;2018
3;180105;2018
2;302115;2018
2;061402;2018
2;060502;2018
2;301305;2018
5;041906;2018
4;200205;2018
2;300404;2018
3;320902;2018
5;040305;2018
3;260507;2018
4;141704;2018
3;061206;2018
4;040208;2018
1;220907;2018
3;061203;2018
2;321704;2018
3;120109;2018
3;143402;2018
4;260403;2018
5;046201;2018
2;060705;2018
5;060605;2018
2;022401;2018
3;143403;2018
2;221305;2018
3;281708;2018
2;303004;2018
4;180503;2018
3;200605;2018
3;060301;2018
5;126301;2018
2;040709;2018
3;301004;2018
2;061108;2018
4;020608;2018
4;022602;2018
2;181107;2018
1;041404;2018
2;101102;2018
3;301010;2018
2;302404;2018
3;240606;2018
2;060114;2018
5;260503;2018
4;061806;2018
5;160705;2018
5;021303;2018
3;181303;2018
2;080203;2018
3;221004;2018
2;221002;2018
2;143504;2018
2;121307;2018
2;280904;2018
3;161107;2018
5;181704;2018
2;302301;2018
3;060813;2018
2;141001;2018
2;141906;2018
4;281407;2018
1;240205;2018
6;246101;2018
1;302502;2018
2;241502;2018
6;221401;2018
4;060408;2018
4;200210;2018
1;120503;2018
4;022004;2018
3;121203;2018
1;300401;2018
2;180204;2018
2;140314;2018
1;260703;2018
3;281412;2018
5;281402;2018
3;241305;2018
3;221206;2018
3;101006;2018
3;080605;2018
9;106101;2018
3;040803;2018
3;281410;2018
1;041704;2018
1;021002;2018
3;180801;2018
3;180401;2018
3;020801;2018
2;200508;2018
2;100510;2018
3;221204;2018
5;320404;2018
4;120607;2018
2;200215;2018
2;221208;2018
1;041807;2018
3;022003;2018
1;021606;2018
3;241303;2018
2;041805;2018
2;021701;2018
1;240508;2018
2;101704;2018
3;040103;2018
3;100803;2018
3;040105;2018
5;281409;2018
2;040109;2018
4;280203;2018
4;062004;2018
2;180504;2018
1;321602;2018
4;181409;2018
3;142502;2018
3;260805;2018
3;300601;2018
3;120205;2018
1;241507;2018
1;221003;2018
1;200404;2018
2;142301;2018
3;240405;2018
4;240702;2018
2;200211;2018
2;240203;2018
4;062002;2018
3;301204;2018
1;303102;2018
2;022501;2018
4;321504;2018
2;101206;2018
6;101402;2018
2;281703;2018
2;100303;2018
2;240306;2018
5;020805;2018
2;062011;2018
1;143410;2018
4;021501;2018
2;180805;2018
4;061810;2018
3;041004;2018
4;120806;2018
2;240904;2018
5;101201;2018
2;101410;2018
2;161001;2018
3;121111;2018
1;260401;2018
2;281507;2018
3;260608;2018
5;040707;2018
3;181310;2018
3;061104;2018
3;280406;2018
3;181109;2018
3;142510;2018
3;221005;2018
3;302408;2018
1;241604;2018
5;141106;2018
1;140611;2018
2;041104;2018
3;060209;2018
3;040201;2018
3;060915;2018
6;260414;2018
4;020803;2018
2;261207;2018
2;300905;2018
2;041002;2018
3;100608;2018
3;140301;2018
4;020207;2018
3;220404;2018
3;302005;2018
2;020606;2018
2;220405;2018
5;142404;2018
1;101603;2018
3;141605;2018
2;121113;2018
2;060101;2018
2;080207;2018
2;142405;2018
3;060207;2018
3;020103;2018
1;261302;2018
4;060704;2018
5;020808;2018
2;201109;2018
2;142603;2018
4;321408;2018
4;160906;2018
3;180307;2018
4;260208;2018
1;140103;2018
1;301706;2018
4;080106;2018
2;022504;2018
2;201206;2018
1;141910;2018
5;180702;2018
4;201108;2018
2;041803;2018
3;260207;2018
3;080107;2018
3;120508;2018
3;302110;2018
2;101602;2018
4;101211;2018
7;020603;2018
3;161003;2018
3;200706;2018
1;142808;2018
3;200303;2018
2;140208;2018
5;226201;2018
3;221310;2018
3;260209;2018
3;180509;2018
2;021006;2018
2;060203;2018
3;060312;2018
4;300602;2018
3;142801;2018
3;240311;2018
5;060901;2018
2;200505;2018
3;143805;2018
3;281305;2018
2;021301;2018
3;160103;2018
3;021103;2018
2;121605;2018
7;081008;2018
1;121503;2018
2;101304;2018
1;220606;2018
3;180701;2018
5;041005;2018
2;040601;2018
3;220508;2018
2;141210;2018
2;201001;2018
2;240105;2018
2;302306;2018
3;200703;2018
3;260905;2018
3;260206;2018
4;142901;2018
2;060904;2018
3;240603;2018
2;120707;2018
6;166101;2018
4;101209;2018
4;302805;2018
2;160910;2018
3;021904;2018
3;302303;2018
4;041409;2018
3;121810;2018
5;020602;2018
5;280502;2018
2;142613;2018
3;220305;2018
2;301902;2018
4;022309;2018
1;301103;2018
2;142606;2018
3;101607;2018
3;060214;2018
3;281601;2018
1;220904;2018
4;302603;2018
6;280306;2018
4;326301;2018
3;120601;2018
4;300201;2018
1;221205;2018
2;061304;2018
6;100108;2018
6;240407;2018
7;126201;2018
3;180203;2018
3;142007;2018
7;141702;2018
2;321805;2018
5;206301;2018
3;280801;2018
3;040904;2018
2;060907;2018
4;302304;2018
4;041102;2018
2;220105;2018
2;120103;2018
2;101208;2018
2;160305;2018
4;181001;2018
3;101902;2018
2;140503;2018
2;121616;2018
4;320507;2018
1;041602;2018
5;306301;2018
3;041501;2018
3;060709;2018
3;120901;2018
1;061809;2018
3;221202;2018
4;141310;2018
3;100705;2018
2;141403;2018
2;280707;2018
2;141611;2018
2;260415;2018
6;260502;2018
5;261205;2018
2;100903;2018
4;060603;2018
1;102105;2018
2;301302;2018
2;080201;2018
2;181501;2018
3;280703;2018
4;061801;2018
3;201401;2018
1;020702;2018
2;120706;2018
3;301602;2018
2;182001;2018
2;302704;2018
5;181102;2018
4;240102;2018
5;121205;2018
3;261206;2018
3;320203;2018
2;281504;2018
4;161004;2018
3;181708;2018
6;280504;2018
4;141804;2018
3;141105;2018
2;181803;2018
2;060302;2018
3;101703;2018
3;061804;2018
7;246201;2018
3;180206;2018
3;221306;2018
2;200214;2018
3;240413;2018
1;300505;2018
3;260501;2018
1;161102;2018
2;320803;2018
2;101001;2018
1;060108;2018
3;142306;2018
2;060805;2018
1;141405;2018
2;301804;2018
2;201203;2018
2;221201;2018
5;040701;2018
3;220406;2018
2;260705;2018
1;260706;2018
3;021203;2018
2;220603;2018
1;240409;2018
2;140905;2018
4;061401;2018
4;142003;2018
6;022201;2018
5;081002;2018
2;220803;2018
3;143306;2018
10;026401;2018
3;120703;2018
6;320101;2018
2;121808;2018
3;040210;2018
4;221303;2018
3;181609;2018
4;021804;2018
4;143702;2018
2;160807;2018
6;320706;2018
1;120201;2018
1;221403;2018
2;261005;2018
3;241608;2018
3;200702;2018
1;120404;2018
3;281506;2018
3;100907;2018
6;246401;2018
3;142706;2018
2;302003;2018
4;121302;2018
3;101406;2018
3;221001;2018
2;101106;2018
6;260804;2018
3;022605;2018
1;303104;2018
2;180904;2018
2;041604;2018
3;201005;2018
3;160401;2018
2;080603;2018
3;062001;2018
1;060505;2018
2;300308;2018
3;081101;2018
3;142308;2018
6;240708;2018
2;241107;2018
3;160101;2018
3;280901;2018
5;060801;2018
1;301404;2018
3;060810;2018
3;321601;2018
2;100804;2018
2;241506;2018
2;121114;2018
2;120507;2018
3;160204;2018
1;181703;2018
4;280202;2018
2;240705;2018
2;220505;2018
5;142102;2018
4;180402;2018
1;140303;2018
1;281303;2018
4;201302;2018
2;240410;2018
4;303005;2018
3;060808;2018
3;143001;2018
3;022202;2018
4;121611;2018
4;060201;2018
4;060807;2018
1;081001;2018
2;080206;2018
4;040102;2018
2;041605;2018
2;260508;2018
3;300205;2018
2;302205;2018
4;220702;2018
2;200807;2018
4;240404;2018
3;101210;2018
4;026501;2018
3;240210;2018
5;241701;2018
4;066101;2018
3;281505;2018
4;020506;2018
2;020106;2018
2;240307;2018
2;060116;2018
3;142503;2018
4;281404;2018
4;260704;2018
3;102004;2018
3;220703;2018
2;061907;2018
4;143207;2018
3;221107;2018
4;061202;2018
5;101604;2018
3;100407;2018
2;241508;2018
2;021104;2018
4;141307;2018
2;301909;2018
3;301907;2018
2;241606;2018
2;300805;2018
2;300802;2018
2;121606;2018
3;141502;2018
2;181003;2018
2;300203;2018
3;220504;2018
4;240204;2018
2;021502;2018
3;280804;2018
6;306201;2018
4;060601;2018
2;180804;2018
3;301908;2018
2;240412;2018
2;100507;2018
2;300704;2018
5;260604;2018
2;060812;2018
3;281705;2018
2;240506;2018
3;302103;2018
5;142508;2018
3;260607;2018
4;121013;2018
1;060106;2018
1;100403;2018
3;260701;2018
4;021604;2018
1;220503;2018
1;120804;2018
1;181306;2018
2;280704;2018
4;120407;2018
4;247101;2018
3;120105;2018
2;081202;2018
2;041204;2018
1;181307;2018
1;301013;2018
2;280105;2018
3;041301;2018
5;142513;2018
