teryt;exteryt;bb;center;razem;rok
161101;2;50.492529,18.075758 50.649752,18.243988;50.5711405,18.159873;1;2018
220101;2;54.143383,17.256393 54.269113,17.459568;54.206248,17.3579805;2;2018
100904;3;51.051403,18.936202 51.187224,19.104733;51.1193135,19.0204675;4;2018
141601;1;52.778372,21.844754 52.835804,21.937430;52.807088,21.891092;5;2018
143301;1;52.361116,21.970201 52.440519,22.089079;52.4008175,22.02964;5;2018
140311;2;51.687230,21.594350 51.806770,21.787317;51.747,21.6908335;2;2018
141301;1;53.090946,20.324506 53.177535,20.437986;53.1342405,20.381246;4;2018
241202;2;50.070921,18.380283 50.121768,18.464483;50.0963445,18.422383;1;2018
141214;2;52.227442,21.391263 52.345823,21.621332;52.2866325,21.5062975;5;2018
041813;2;52.538416,18.928200 52.655926,19.426105;52.597171,19.1771525;2;2018
302902;2;52.065023,15.833296 52.246664,16.107487;52.1558435,15.9703915;3;2018
241605;3;50.359335,19.249778 50.485977,19.519510;50.422656,19.384644;2;2018
181601;1;49.787351,22.189489 49.840259,22.278581;49.813805,22.234035;2;2018
241714;2;49.402621,19.064042 49.536721,19.261821;49.469671,19.1629315;1;2018
101302;3;51.741141,20.316459 51.892351,20.619456;51.816746,20.4679575;4;2018
022104;2;50.702818,16.067573 50.827489,16.207135;50.7651535,16.137354;2;2018
060506;3;50.652659,22.213929 50.839705,22.460912;50.746182,22.3374205;2;2018
302806;2;52.875733,17.405390 52.958205,17.528441;52.916969,17.4669155;2;2018
040806;2;52.725111,18.943315 52.901861,19.326699;52.813486,19.135007;2;2018
081105;2;51.568816,14.911837 51.694978,15.070781;51.631897,14.991309;2;2018
041606;3;53.546413,17.733516 53.759628,18.055963;53.6530205,17.8947395;4;2018
141209;3;52.168853,21.739466 52.292737,21.941795;52.230795,21.8406305;2;2018
060902;2;51.031591,22.167539 51.129755,22.342319;51.080673,22.254929;2;2018
321001;3;52.862844,15.018971 53.085123,15.332635;52.9739835,15.175803;5;2018
161002;3;50.265089,17.718175 50.426341,18.032261;50.345715,17.875218;3;2018
240501;1;50.173926,18.612316 50.240525,18.713598;50.2072255,18.662957;3;2018
241609;2;50.509947,19.370613 50.625912,19.558421;50.5679295,19.464517;3;2018
280505;2;53.821589,22.023853 54.006704,22.320758;53.9141465,22.1723055;3;2018
300803;3;51.267928,17.887775 51.393382,18.120214;51.330655,18.0039945;2;2018
121508;2;49.572154,19.467784 49.698733,19.676014;49.6354435,19.571899;4;2018
121105;2;49.386458,19.565178 49.623699,19.779237;49.5050785,19.6722075;2;2018
121107;2;49.446875,19.527413 49.587789,19.651935;49.517332,19.589674;2;2018
280805;3;53.938188,21.070560 54.101659,21.311193;54.0199235,21.1908765;3;2018
040307;2;53.139705,17.668997 53.295682,17.958395;53.2176935,17.813696;2;2018
320204;2;52.987286,15.387340 53.133295,15.594852;53.0602905,15.491096;2;2018
061811;2;50.386006,23.261446 50.510311,23.601323;50.4481585,23.4313845;4;2018
041411;2;53.522986,18.396804 53.704033,18.717595;53.6135095,18.5571995;4;2018
201103;2;53.339224,23.058219 53.518806,23.203857;53.429015,23.131038;1;2018
060310;2;51.184114,23.336673 51.374106,23.593453;51.27911,23.465063;4;2018
260305;3;50.261208,20.291963 50.359311,20.485870;50.3102595,20.3889165;2;2018
181006;2;50.120671,22.161277 50.246768,22.284757;50.1837195,22.223017;3;2018
141507;2;53.260495,21.431079 53.480948,21.735427;53.3707215,21.583253;2;2018
061303;2;51.668008,22.782778 51.790701,23.039696;51.7293545,22.911237;1;2018
320504;3;53.726792,15.083317 53.938800,15.484674;53.832796,15.2839955;6;2018
020402;2;51.498959,16.385179 51.627934,16.644868;51.5634465,16.5150235;2;2018
302308;3;52.073389,17.766597 52.196752,18.032889;52.1350705,17.899743;7;2018
022105;3;50.636541,16.270359 50.715852,16.457809;50.6761965,16.364084;2;2018
086101;1;52.684163,15.123392 52.776949,15.310920;52.730556,15.217156;5;2018
142904;2;52.415578,22.331803 52.586838,22.554234;52.501208,22.4430185;2;2018
301504;3;52.225986,16.022324 52.397619,16.286652;52.3118025,16.154488;5;2018
301807;3;51.338653,17.742007 51.509667,18.023815;51.42416,17.882911;3;2018
040108;2;52.768403,18.776385 52.839717,18.938538;52.80406,18.8574615;3;2018
142803;2;52.261551,19.936113 52.419094,20.132316;52.3403225,20.0342145;4;2018
021703;2;50.613223,17.064894 50.752188,17.259077;50.6827055,17.1619855;2;2018
040207;3;53.318872,19.084020 53.459365,19.320011;53.3891185,19.2020155;2;2018
180205;2;49.704468,21.850859 49.781093,22.030452;49.7427805,21.9406555;1;2018
020101;1;51.226376,15.501076 51.297962,15.602184;51.262169,15.55163;4;2018
080103;2;52.584398,15.157721 52.734960,15.421386;52.659679,15.2895535;1;2018
281102;2;53.251512,20.528638 53.434036,20.817039;53.342774,20.6728385;4;2018
143308;2;52.475933,21.793873 52.609808,22.008835;52.5428705,21.901354;3;2018
021302;2;51.367788,17.249431 51.521478,17.545881;51.444633,17.397656;4;2018
100301;2;51.475401,19.077659 51.567258,19.265952;51.5213295,19.1718055;2;2018
180410;2;49.838557,22.514953 49.982899,22.645995;49.910728,22.580474;1;2018
160912;2;50.550231,17.585752 50.638413,17.798040;50.594322,17.691896;1;2018
182101;2;49.231180,22.187379 49.414119,22.361835;49.3226495,22.274607;3;2018
141406;3;52.416093,20.481763 52.532533,20.676096;52.474313,20.5789295;2;2018
200308;2;52.749899,22.791908 52.926652,23.126295;52.8382755,22.9591015;3;2018
100209;2;52.225915,19.439755 52.304886,19.616033;52.2654005,19.527894;3;2018
143002;2;51.187139,20.894500 51.282755,21.023706;51.234947,20.959103;2;2018
141206;2;52.260362,21.569352 52.395006,21.803576;52.327684,21.686464;4;2018
143409;3;52.349165,21.064565 52.518755,21.289039;52.43396,21.176802;4;2018
221102;3;54.674692,18.524985 54.754790,18.731911;54.714741,18.628448;1;2018
062005;2;50.607896,23.280145 50.710164,23.433672;50.65903,23.3569085;5;2018
040205;3;53.125617,19.539440 53.246601,19.761595;53.186109,19.6505175;4;2018
180301;1;50.006882,21.366446 50.085020,21.465543;50.045951,21.4159945;4;2018
120709;2;49.558641,19.990824 49.746504,20.242641;49.6525725,20.1167325;5;2018
241705;2;49.616254,19.380151 49.680528,19.479246;49.648391,19.4296985;2;2018
180201;3;49.618300,21.933100 49.753377,22.113537;49.6858385,22.0233185;4;2018
141511;2;52.975551,21.626163 53.115219,21.941113;53.045385,21.783638;1;2018
101202;2;51.104535,19.351639 51.200652,19.478652;51.1525935,19.4151455;3;2018
060303;2;51.038388,23.300770 51.263753,23.593423;51.1510705,23.4470965;2;2018
320602;3;52.790092,14.122930 52.988795,14.318958;52.8894435,14.220944;2;2018
247501;1;50.225522,19.071312 50.316944,19.317924;50.271233,19.194618;6;2018
281701;1;53.546688,20.959860 53.580585,21.035926;53.5636365,20.997893;5;2018
261103;2;51.076289,20.948918 51.211429,21.164137;51.143859,21.0565275;1;2018
200305;2;52.640842,22.664262 52.858889,23.006648;52.7498655,22.835455;2;2018
200803;2;53.417844,22.847914 53.591410,23.074086;53.504627,22.961;2;2018
180708;3;49.459876,21.773513 49.644158,21.969289;49.552017,21.871401;1;2018
022507;2;51.009214,14.948113 51.216244,15.212501;51.112729,15.080307;2;2018
180406;2;49.969287,22.551066 50.043617,22.698282;50.006452,22.624674;2;2018
321701;1;53.238534,16.372259 53.306863,16.526663;53.2726985,16.449461;7;2018
101807;3;51.255459,18.074521 51.391401,18.252555;51.32343,18.163538;3;2018
200904;2;54.169867,23.108707 54.297005,23.359220;54.233436,23.2339635;1;2018
062006;2;50.675983,23.433463 50.802796,23.671353;50.7393895,23.552408;2;2018
120301;3;50.012053,19.461849 50.118435,19.628917;50.065244,19.545383;4;2018
180505;3;49.774413,21.409067 49.840546,21.560157;49.8074795,21.484612;2;2018
241405;2;50.075269,19.152623 50.134327,19.245344;50.104798,19.1989835;2;2018
241304;1;50.400142,18.769885 50.531013,18.914251;50.4655775,18.842068;4;2018
321604;2;53.786038,15.773729 53.922565,16.080867;53.8543015,15.927298;2;2018
280601;1;54.016314,21.729137 54.055614,21.809621;54.035964,21.769379;3;2018
020305;2;51.595778,16.167577 51.695887,16.355453;51.6458325,16.261515;1;2018
320603;3;52.844097,14.209786 53.067426,14.626460;52.9557615,14.418123;4;2018
280304;3;53.140993,19.682215 53.354320,19.997983;53.2476565,19.840099;3;2018
041407;2;53.518347,18.153410 53.709490,18.443401;53.6139185,18.2984055;1;2018
140903;3;51.069451,21.507289 51.228931,21.735076;51.149191,21.6211825;3;2018
040808;2;52.680975,19.346337 52.816059,19.526144;52.748517,19.4362405;1;2018
200401;1;53.615248,22.405148 53.665119,22.496710;53.6401835,22.450929;3;2018
181402;2;50.207307,22.573617 50.305919,22.841302;50.256613,22.7074595;2;2018
142004;2;52.381137,20.222414 52.488207,20.497473;52.434672,20.3599435;2;2018
021007;2;51.080913,15.118636 51.166891,15.261077;51.123902,15.1898565;2;2018
061002;2;51.326903,22.801178 51.435246,23.088171;51.3810745,22.9446745;2;2018
080805;3;52.126586,15.394454 52.359113,15.662390;52.2428495,15.528422;4;2018
121003;2;49.694137,20.645966 49.806853,20.828395;49.750495,20.7371805;2;2018
280405;2;54.133454,19.463486 54.270445,19.644504;54.2019495,19.553995;2;2018
161104;3;50.376601,18.132138 50.491462,18.298558;50.4340315,18.215348;1;2018
060703;2;50.915151,21.960743 51.001520,22.195855;50.9583355,22.078299;2;2018
121612;2;50.145704,20.679384 50.242753,20.810700;50.1942285,20.745042;3;2018
020901;1;51.260537,15.910960 51.283891,15.960494;51.272214,15.935727;1;2018
321402;3;53.407514,15.210650 53.548505,15.467049;53.4780095,15.3388495;5;2018
101904;2;51.557876,18.793893 51.686762,19.041649;51.622319,18.917771;2;2018
160902;2;50.631494,17.657516 50.776098,17.880639;50.703796,17.7690775;2;2018
201306;2;52.953565,22.398170 53.063280,22.644654;53.0084225,22.521412;2;2018
321302;1;54.332597,16.619675 54.389776,16.704788;54.3611865,16.6622315;2;2018
302703;3;51.820786,18.561771 51.955126,18.767948;51.887956,18.6648595;2;2018
060802;2;51.425913,22.189831 51.517225,22.389677;51.471569,22.289754;4;2018
320807;2;54.145285,15.637066 54.227224,15.846011;54.1862545,15.7415385;2;2018
120510;2;49.400992,20.998721 49.578711,21.347117;49.4898515,21.172919;3;2018
