teryt;teryt7;nazwa;dochody
100104;2;Kleszczów;47245.08
320507;2;Rewal;27152.22
221001;1;Krynica Morska;14110.64
100905;2;Rząśnia;10898.42
320701;3;Dziwnów;10757.62
022305;2;Kobierzyce;9762.95
320807;2;Ustronie Morskie;9449.02
020303;2;Jerzmanowa;9220.37
021604;3;Polkowice;9095.77
320905;3;Mielno;8952.79
146501;1;M.st.Warszawa od 2002;8802.88
201005;2;Mielnik;8729.31
021603;2;Grębocice;8671.73
320704;3;Międzyzdroje;8188.48
302117;2;Tarnowo Podgórne;8135.20
326301;1;Świnoujście;8082.01
226401;1;Sopot;8036.99
146201;1;Płock;8036.89
302115;2;Suchy Las;7979.74
100107;2;Szczerców;7931.94
142105;2;Nadarzyn;7914.27
220802;1;Łeba;7842.26
140502;1;Podkowa Leśna;7824.98
141803;2;Lesznowola;7681.37
181502;2;Ostrów;7608.06
182105;2;Solina;7558.69
020601;1;Karpacz;7553.17
260417;2;Sitkówka-Nowiny;7415.88
041303;2;Sośno;7259.06
061005;2;Puchaczów;7238.33
220506;2;Stężyca;7192.54
220805;2;Wicko;7122.74
142104;2;Michałowice;7087.53
321303;2;Darłowo;7075.21
221505;2;Gniewino;7046.04
302706;2;Przykona;7037.67
221102;3;Jastarnia;7000.02
021002;1;Świeradów-Zdrój;6934.36
143206;3;Ożarów Mazowiecki;6916.17
100908;2;Sulmierzyce;6913.86
220602;2;Dziemiany;6851.14
021103;2;Rudna;6833.41
220507;2;Sulęczyno;6745.49
321305;2;Postomino;6717.03
040604;3;Radzyń Chełmiński;6707.17
166101;1;Opole;6700.84
141107;3;Różan;6660.16
220107;2;Parchowo;6659.14
022503;3;Bogatynia;6635.71
021606;2;Radwanice;6618.93
286201;1;Olsztyn;6559.30
280206;2;Płoskinia;6525.42
220403;2;Kolbudy;6510.23
306401;1;Poznań;6505.48
040306;2;Osielsko;6499.82
026401;1;Wrocław;6477.47
301004;3;Kleczew;6473.98
126101;1;Kraków;6469.58
300104;3;Margonin;6469.12
320803;3;Gościno;6456.21
146101;1;Ostrołęka;6388.77
141912;2;Słupno;6331.37
320103;3;Karlino;6320.12
240201;1;Szczyrk;6311.52
141708;2;Wiązowna;6310.58
302305;2;Powidz;6301.90
226101;1;Gdańsk;6295.16
246601;1;Gliwice;6287.39
041602;2;Gostycyn;6284.83
306201;1;Konin;6241.41
182102;2;Cisna;6239.35
266101;1;Kielce;6216.60
020604;1;Szklarska Poręba;6185.94
141802;3;Konstancin-Jeziorna;6175.37
040606;2;Świecie nad Osą;6166.76
140803;2;Nieporęt;6166.07
102008;3;Stryków;6162.19
086201;1;Zielona Góra;6158.55
041508;2;Wielka Nieszawka;6150.72
186301;1;Rzeszów;6145.78
246901;1;Katowice;6131.97
220402;2;Cedry Wielkie;6127.13
126301;1;Tarnów;6124.86
186101;1;Krosno;6123.07
220504;2;Sierakowice;6122.67
320303;3;Kalisz Pomorski;6117.73
281002;3;Mikołajki;6116.87
220110;2;Tuchomie;6115.80
126201;1;Nowy Sącz;6107.43
143203;2;Kampinos;6089.26
221506;2;Linia;6062.75
320804;2;Kołobrzeg;6047.73
220503;2;Przodkowo;6014.70
220501;2;Chmielno;6014.64
066301;1;Lublin;6013.94
