urzad;teryt;razem;razemKobiety;wiek;PSL;PiS;PO;SLD;PP;NP
Prezydent m.st. Warszawy;146501;14;2;52.21;1;1;1;1;1;9
Prezydent Wrocławia;026401;10;4;42.40;0;1;1;0;2;6
Prezydent Miasta Włocławek;046401;9;0;52.11;0;1;1;1;0;6
Prezydent Miasta Łodzi;106101;9;3;51.67;0;1;0;0;0;8
Prezydent Miasta Kalisza;306101;8;1;44.50;0;1;1;1;0;5
Prezydent Miasta Zabrze;247801;8;2;43.62;0;1;1;0;1;5
Prezydent Olsztyna;286201;8;2;48.38;0;1;1;1;0;5
Burmistrz Gminy Zagórów;302308;7;1;47.29;1;0;0;0;0;6
Burmistrz Miasta Piechowice;020603;7;1;51.00;1;0;0;0;0;6
Burmistrz Wielunia;101709;7;0;49.57;1;1;0;0;0;5
Prezydent Miasta Kielce;266101;7;0;49.86;1;0;1;1;0;4
Prezydent Miasta Poznania;306401;7;1;50.71;0;1;1;0;0;5
Prezydent Bytomia;246201;7;0;51.14;0;1;1;1;0;4
Prezydent Miasta Nowego Sącza;126201;7;2;53.71;0;1;1;1;0;4
Burmistrz Drawska Pomorskiego;320302;7;0;48.00;1;1;0;1;0;4
Prezydent Miasta Gdańska;226101;7;2;46.14;0;1;1;1;0;4
Prezydent Miasta Katowice;246901;7;1;46.00;0;0;1;0;3;3
Prezydent Miasta Radomia;146301;7;0;46.86;1;1;0;0;0;5
Burmistrz Przasnysza;142201;7;0;43.86;0;1;0;1;0;5
Prezydent Miasta Zduńska Wola;101901;7;1;46.29;0;1;1;0;0;5
Wójt Gminy Wymiarki;081008;7;1;52.43;0;1;0;0;0;6
Prezydent Miasta Łomża;206201;7;1;47.71;0;1;1;1;0;4
Prezydent Miasta Otwocka;141702;7;0;43.00;0;1;1;0;0;5
Burmistrz Miasta Hrubieszów;060401;7;2;53.71;1;1;0;0;0;5
Prezydent Miasta Bełchatowa;100101;7;2;47.00;0;1;1;0;0;5
Prezydent Miasta Chorzów;246301;7;0;50.71;0;1;1;0;1;4
Burmistrz Miasta Wałcz;321701;7;2;44.71;0;1;1;0;0;5
Wójt Gminy Dobrcz;040303;6;1;47.67;0;0;0;0;0;6
Burmistrz  Miasta i Gminy Pińczów;260804;6;0;51.33;1;1;0;0;0;4
Prezydent Miasta Tczewa;221401;6;1;47.00;0;1;1;0;0;4
Burmistrz Miasta Koła;300901;6;2;46.00;0;1;1;1;0;3
Wójt Gminy Lututów;101804;6;1;54.17;0;1;0;0;0;5
Burmistrz Szklarskiej Poręby;020604;6;2;51.00;0;0;0;0;0;6
Prezydent Miasta Rybnika;247301;6;0;52.00;0;1;1;0;0;4
Burmistrz Barwic;321502;6;1;47.83;0;1;0;0;0;5
Prezydent Miasta Lubina;021101;6;2;42.67;0;1;1;0;0;4
Wójt Gminy Rutki;201403;6;2;44.83;0;1;0;0;0;5
Burmistrz Miasta Brzeziny;102101;6;1;52.00;0;1;0;0;0;5
Wójt Gminy Grabów;100404;6;1;57.67;0;1;0;0;0;5
Prezydent Miasta Bielska-Białej;246101;6;1;51.83;0;1;1;1;0;3
Wójt Gminy Drzycim;041403;6;4;45.00;1;1;0;0;0;4
Burmistrz Śremu;302604;6;1;46.33;0;1;0;0;0;5
Burmistrz Miasta i Gminy Bogatynia;022503;6;2;50.17;1;1;0;0;0;4
Burmistrz Zelowa;100108;6;1;39.83;0;1;0;0;0;5
Burmistrz Tuchowa;121610;6;1;50.67;1;1;0;0;0;4
Burmistrz Wadowic;121809;6;1;45.67;0;1;0;0;0;5
Prezydent Miasta Szczecin;326201;6;0;42.67;0;1;1;1;0;3
Burmistrz Ozimka;160908;6;1;45.50;0;1;0;0;0;5
Prezydent Miasta Częstochowy;246401;6;0;39.83;0;1;1;1;0;3
Prezydent Miasta Sosnowca;247501;6;2;48.67;0;1;1;1;0;3
Wójt Gminy Mykanów;240411;6;3;49.33;1;1;1;0;0;3
Burmistrz Miasta Józefowa;141701;6;2;46.50;0;1;0;0;0;5
Wójt Gminy Dzierzążnia;142005;6;0;55.33;1;0;0;0;0;5
Burmistrz Miasta Kamienna Góra;020701;6;1;52.17;1;1;0;0;0;4
Wójt Gminy Ułęż;061606;6;3;44.50;0;1;0;1;0;4
Burmistrz Brzegu Dolnego;022201;6;2;49.83;0;0;0;0;0;6
Burmistrz Miasta Białogard;320101;6;1;48.83;0;1;0;0;0;5
Burmistrz Wołomina;143412;6;1;44.83;0;1;0;0;0;5
Prezydent Miasta Konina;306201;6;0;50.33;0;1;1;1;0;3
Burmistrz Błaszek;101402;6;1;40.33;1;1;0;0;0;4
Burmistrz Sulechowa;080906;6;1;53.83;0;1;0;0;0;5
Prezydent Miasta Lublin;066301;6;2;42.83;0;1;0;0;0;5
Wójt Gminy Łyszkowice;100508;6;2;51.00;0;1;0;0;0;5
Wójt Gminy Prostki;280504;6;2;49.17;0;0;0;0;1;5
Wójt Gminy Piekoszów;260414;6;1;46.00;0;1;0;0;0;5
Burmistrz Frampola;060205;6;1;49.83;0;0;0;0;0;6
Wójt Gminy Legnickie Pole;020905;6;1;50.50;0;0;0;0;0;6
Prezydent Miasta Torunia;046301;6;2;46.33;0;1;1;0;0;4
Burmistrz Dobrego Miasta;281403;6;1;56.50;0;1;0;0;0;5
Wójt Gminy Gowarczów;260502;6;3;49.67;1;1;0;0;0;4
Burmistrz Miasta Kłodzka;020802;6;0;54.50;0;0;0;0;0;6
Burmistrz Miasta i Gminy Lesko;182103;6;0;40.33;0;1;0;0;0;5
Prezydent Miasta Koszalin;326101;6;0;60.00;0;1;1;1;0;3
Burmistrz Woźnik;240708;6;0;49.17;0;1;0;0;0;5
Wójt Gminy Rybno;280306;6;0;48.50;0;0;0;0;0;6
Burmistrz Płotów;320504;6;0;46.50;1;0;0;0;0;5
Burmistrz Kłodawy;300906;6;2;51.50;1;1;0;1;1;2
Wójt Gminy Konopiska;240407;6;2;47.83;1;0;0;1;0;4
Burmistrz Gminy Dębno;321003;6;2;47.67;0;1;0;0;0;5
Wójt Gminy Kramsk;301005;6;2;49.33;0;1;0;0;0;5
Burmistrz Gminy Wolin;320706;6;3;56.00;1;1;0;0;0;4
Wójt Gminy Bartoszyce;280103;6;1;53.17;1;1;1;0;0;3
Prezydent Miasta Opola;166101;6;3;46.33;0;1;1;1;0;3
Prezydent Miasta Mysłowice;247001;6;0;48.67;0;1;1;1;0;3
Burmistrz Miasta Sandomierza;260901;6;0;57.67;0;1;0;0;0;5
Wójt Gminy Markuszów;061407;6;1;39.67;1;1;0;0;0;4
Prezydent Miasta Krakowa;126101;6;3;44.50;0;1;0;0;0;5
Burmistrz Wyszkowa;143505;5;1;44.40;1;1;0;0;0;3
Burmistrz Miasta Lubaczowa;180901;5;1;52.80;0;1;0;0;1;3
Wójt Gminy Janów Podlaski;060105;5;1;45.40;1;1;0;0;0;3
Burmistrz Mieroszowa;022106;5;1;46.60;0;0;0;0;0;5
Burmistrz Gminy i Miasta Wyszogród;141915;5;1;51.20;1;0;0;0;0;4
Wójt Gminy Łagiewniki;020206;5;2;47.20;0;0;0;0;0;5
Burmistrz Nasielska;141404;5;1;48.20;0;1;0;0;0;4
Wójt Gminy Wojciechów;060913;5;2;49.60;1;1;0;0;0;3
Prezydent Miasta Leszna;306301;5;2;44.00;0;1;1;1;0;2
Burmistrz Gołdapi;281803;5;1;48.00;0;1;0;0;0;4
Burmistrz Kalisza Pomorskiego;320303;5;1;43.60;0;1;0;1;0;3
Wójt Gminy Komańcza;181704;5;1;50.80;0;0;0;0;0;5
Burmistrz Miasta Kowary;020602;5;1;45.40;0;0;0;0;0;5
Burmistrz Nysy;160705;5;1;39.80;0;1;1;0;0;3
Burmistrz Gminy Nowogard;320404;5;1;43.80;1;1;0;1;0;2
Burmistrz Miasta Golubia-Dobrzynia;040501;5;1;45.20;0;0;0;0;0;5
Wójt Gminy Kleszczów;100104;5;1;43.80;0;0;0;0;0;5
Burmistrz Miasta Lęborka;220801;5;1;50.40;0;1;0;1;0;3
Burmistrz Miasta Sejny;200901;5;1;52.80;0;1;0;0;0;4
Wójt Gminy Stanisławów;141214;5;1;53.60;0;1;0;0;0;4
Burmistrz Olecka;281304;5;0;42.80;0;0;0;0;0;5
Wójt Gminy Strawczyn;260418;5;2;51.40;0;0;0;0;0;5
Burmistrz Lubyczy Królewskiej;061805;5;0;47.20;1;1;0;0;0;3
Wójt Gminy Krościenko nad Dunajcem;121106;5;0;52.80;0;0;0;0;0;5
Burmistrz Pyrzyc;321205;5;3;51.20;1;1;0;0;0;3
Burmistrz Miasta i Gminy Gniew;221402;5;0;42.80;0;1;0;0;0;4
Prezydent Miasta Pruszków;142102;5;0;43.60;0;1;1;0;0;3
Prezydent Miasta Skarżyska-Kamiennej;261001;5;0;42.20;0;1;0;1;0;3
Prezydent Miasta Zgierza;102003;5;2;52.20;0;1;1;0;0;3
Burmistrz Miasta Bielsk Podlaski;200301;5;2;42.00;0;1;0;1;0;3
Burmistrz Miasta i Gminy Wschowa;081203;5;1;45.60;0;1;0;0;0;4
Wójt Gminy Radków;261304;5;0;49.80;1;0;0;1;0;3
Wójt Gminy Suchożebry;142610;5;1;50.40;0;0;0;0;0;5
Prezydent Miasta Suwałk;206301;5;0;46.00;0;1;1;0;0;3
Burmistrz Miasta i Gminy Piotrków Kujawski;041105;5;0;48.60;1;1;0;0;0;3
Burmistrz Miasta Szczecinek;321501;5;1;47.20;0;1;1;0;0;3
Burmistrz Miasta Braniewa;280201;5;2;44.80;0;0;0;1;0;4
Wójt Gminy Spiczyn;061006;5;2;49.40;0;0;0;0;0;5
Burmistrz Miasta Cieszyna;240301;5;2;49.40;0;0;0;0;0;5
Burmistrz Barlinka;321001;5;1;47.40;0;1;0;0;0;4
Wójt Gminy Trawniki;061705;5;2;46.00;0;1;0;0;0;4
Burmistrz Pakości;040707;5;1;52.80;0;0;0;0;0;5
Prezydent Miasta Legnicy;026201;5;0;45.40;0;1;1;1;0;2
Burmistrz Miasta Augustowa;200101;5;0;55.20;0;1;1;0;0;3
Burmistrz Łobżenicy;301904;5;2;52.60;0;1;0;0;0;4
Prezydent Miasta Racibórz;241101;5;1;50.00;0;0;0;0;0;5
Wójt Gminy Kije;260802;5;0;43.80;1;1;0;0;0;3
Burmistrz Michałowa;200207;5;0;46.80;0;0;0;0;0;5
Wójt Gminy Krasnystaw;060605;5;3;48.60;0;1;0;0;0;4
Burmistrz Gminy i Miasta Krajenka;303103;5;0;46.20;0;0;0;0;0;5
Wójt Gminy Goworowo;141504;5;1;48.20;1;1;0;0;0;3
Prezydent Miasta Tarnobrzega;186401;5;2;52.00;0;1;0;0;0;4
Prezydent Miasta Ostrołęki;146101;5;0;43.00;1;1;1;0;0;2
Burmistrz Czaplinka;320301;5;0;48.00;0;1;0;0;0;4
Prezydent Miasta Jeleniej Góry;026101;5;0;46.80;0;1;1;0;0;3
Burmistrz Dukli;180702;5;2;48.60;0;1;0;0;0;4
Wójt Gminy Brody;261102;5;1;57.40;0;0;0;0;0;5
Burmistrz Krzyża Wielkopolskiego;300204;5;0;49.40;1;1;0;0;0;3
Wójt Gminy Stara Kornica;141006;5;2;46.60;0;1;0;0;0;4
Wójt Gminy Załuski;142012;5;0;44.60;1;1;0;0;0;3
Burmistrz Miasta Łowicza;100501;5;0;46.00;0;1;0;0;0;4
Burmistrz Miasta Rumi;221502;5;1;39.60;0;1;0;0;0;4
Wójt Gminy Banie;320601;5;1;48.00;1;1;0;0;0;3
Burmistrz Gminy i Miasta Nisko;181205;5;0;54.20;0;1;0;0;0;4
Burmistrz Bełżyc;060901;5;0;49.40;0;0;0;0;0;5
Burmistrz Miasta i Gminy Pleszew;302006;5;0;40.80;0;1;1;0;0;3
Burmistrz Miasta Mrągowo;281001;5;1;51.20;0;1;0;0;0;4
Burmistrz Szczawna-Zdroju;022103;5;1;51.60;0;0;0;0;0;5
Burmistrz Lądka-Zdroju;020808;5;1;51.80;0;1;0;0;0;4
Prezydent Miasta Gorzowa Wielkopolskiego;086101;5;1;44.80;0;1;1;0;0;3
Wójt Gminy Borowa;181102;5;0;59.40;0;1;0;0;0;4
Prezydent Miasta Słupska;226301;5;3;51.40;0;1;1;1;0;2
Burmistrz Gminy Chociwel;321402;5;3;54.80;0;1;0;0;0;4
Wójt Gminy Zabrodzie;143506;5;1;39.60;0;1;0;0;0;4
Prezydent Miasta Rzeszowa;186301;5;0;55.20;0;1;0;0;1;3
Prezydent Miasta Jastrzębie-Zdrój;246701;5;2;41.20;0;1;0;1;0;3
Burmistrz Blachowni;240401;5;3;45.40;0;0;0;0;0;5
Wójt Gminy Miedziana Góra;260410;5;1;51.80;0;1;0;0;0;4
Burmistrz Miasta Bielawa;020201;5;1;44.80;0;0;0;0;0;5
Wójt Gminy Jasieniec;140606;5;3;41.20;0;0;0;0;0;5
Wójt Gminy Ełk;280502;5;1;51.40;0;0;0;0;0;5
Burmistrz Miasta Malborka;220901;5;1;48.00;0;1;1;0;0;3
Burmistrz Łasku;100302;5;0;51.80;0;1;1;1;0;2
Burmistrz Miasta Pułtusk;142404;5;0;50.80;1;1;0;1;0;2
Wójt Gminy Bełchatów;100102;5;1;43.60;0;0;0;0;0;5
Prezydent Miasta Mielca;181101;5;0;48.60;0;1;0;0;0;4
Wójt Gminy Magnuszew;140706;5;1;46.60;1;0;0;0;0;4
Wójt Gminy Czerniewice;101604;5;1;54.60;0;0;0;0;0;5
Prezydent Miasta Piotrkowa Trybunalskiego;106201;5;1;49.20;0;1;1;0;0;3
Wójt Gminy Łabunie;062005;5;1;45.00;0;1;0;0;0;4
Burmistrz Nowego Tomyśla;301504;5;0;50.80;1;0;0;0;0;4
Prezydent Miasta Zielona Góra;086201;5;1;45.20;0;1;1;1;0;2
Wójt Gminy Wojcieszków;061110;5;2;46.20;1;1;0;0;0;3
Wójt Gminy Poświętne;143408;5;0;45.60;0;1;0;0;0;4
Burmistrz Miasta i Gminy Olkusz;121205;5;0;44.40;0;1;0;0;0;4
Wójt Gminy Zakrzew;142513;5;1;48.80;1;1;0;0;1;2
Wójt Gminy Wręczyca Wielka;240609;5;1;43.40;0;0;0;0;0;5
Wójt Gminy Olszanka;141003;5;1;45.00;0;1;0;0;0;4
Wójt Gminy Pionki;142508;5;2;57.20;1;1;0;0;0;3
Wójt Gminy Gielniów;142302;5;2;55.40;0;0;0;0;0;5
Wójt Gminy Działdowo;280302;5;1;42.80;0;1;0;0;0;4
Burmistrz Miasta Lędziny;241403;5;2;50.00;0;1;0;0;0;4
Burmistrz Miasta Żagań;081002;5;0;43.20;0;1;0;0;0;4
Burmistrz Biskupca;281402;5;2;49.60;1;1;0;0;0;3
