urzad;teryt;razem;razemKobiety;wiek;PSL;PiS;PO;SLD;PP;NP;teryt.bis;xteryt;name;areaH;areaKm;popThs;popKm;rankA;rankP;type;bb;center;terytDup;uprawnieni;glosy;glosyNW;glosyLK;PSL;PiS;SLD;PO;ognw;PSLp;PiSp;SLDp;POp
Wójt Gminy Izbicko;161101;1;1;63.00;0;0;0;0;0;1;161101;2;Izbicko;8451;85;5418;64;1631;1625;gw;50.492529,18.075758 50.649752,18.243988;50.5711405,18.159873;161101;4460;1278;300;371;93;68;37;135;19.01000;7.28;5.32;2.90;10.56
Wójt Gminy Borzytuchom;220101;2;0;41.50;0;0;0;0;0;2;220101;2;Borzytuchom;10852;109;3232;30;1250;2150;gw;54.143383,17.256393 54.269113,17.459568;54.206248,17.3579805;220101;2358;1024;481;980;156;172;63;494;31.96000;15.23;16.80;6.15;48.24
Burmistrz Gminy i Miasta Pajęczno;100904;4;1;44.00;0;1;0;0;0;3;100904;3;Pajęczno;11363;114;11696;103;1150;720;gmw;51.051403,18.936202 51.187224,19.104733;51.1193135,19.0204675;100904;9704;4458;1074;4301;926;1832;325;913;19.41000;20.77;41.09;7.29;20.48
Burmistrz Miasta Ostrów Mazowiecka;141601;5;2;52.60;0;1;0;0;0;4;141601;1;Ostrów Mazowiecka;2227;22;22656;1017;2213;285;gm;52.778372,21.844754 52.835804,21.937430;52.807088,21.891092;141601;18496;8062;1706;7523;1646;3598;348;1493;17.47000;20.42;44.63;4.32;18.52
Burmistrz Miasta Węgrowa;143301;5;2;52.60;0;1;0;0;0;4;143301;1;Węgrów;3551;36;12765;359;2122;643;gm;52.361116,21.970201 52.440519,22.089079;52.4008175,22.02964;143301;10531;4347;850;4135;1011;1460;127;1314;16.36000;23.26;33.59;2.92;30.23
Wójt Gminy Sobolew;140311;2;0;42.50;0;1;0;0;0;1;140311;2;Sobolew;9480;95;8269;87;1476;1070;gw;51.687230,21.594350 51.806770,21.787317;51.747,21.6908335;140311;6421;2831;752;2652;633;1623;47;173;20.99000;22.36;57.33;1.66;6.11
Burmistrz Miasta Mława;141301;4;0;44.50;1;1;0;0;0;2;141301;1;Mława;3480;35;31243;898;2128;179;gm;53.090946,20.324506 53.177535,20.437986;53.1342405,20.381246;141301;24562;9095;2250;8507;4124;2092;671;1041;19.83000;45.34;23.00;7.38;11.45
Wójt Gminy Gaszowice;241202;1;0;34.00;0;0;0;0;0;1;241202;2;Gaszowice;1985;20;9652;486;2238;899;gw;50.070921,18.380283 50.121768,18.464483;50.0963445,18.422383;241202;7377;2972;794;2257;539;771;154;587;21.08000;18.14;25.94;5.18;19.75
Wójt Gminy Stanisławów;141214;5;1;53.60;0;1;0;0;0;4;141214;2;Stanisławów;10637;107;6737;63;1286;1335;gw;52.227442,21.391263 52.345823,21.621332;52.2866325,21.5062975;141214;5280;2234;696;2075;492;1031;75;322;23.75000;22.02;46.15;3.36;14.41
Wójt Gminy Włocławek;041813;2;2;48.00;0;0;0;0;0;2;041813;2;Włocławek;22062;220;7213;33;256;1250;gw;52.538416,18.928200 52.655926,19.426105;52.597171,19.1771525;041813;5640;2293;951;2130;846;328;378;445;29.32000;36.89;14.30;16.48;19.41
Wójt Gminy Siedlec;302902;3;0;55.67;1;0;0;1;0;1;302902;2;Siedlec;20464;205;12680;62;317;648;gw;52.065023,15.833296 52.246664,16.107487;52.1558435,15.9703915;302902;9695;3406;1552;3158;1262;415;579;683;31.30000;37.05;12.18;17.00;20.05
Burmistrz Łaz;241605;2;0;50.00;0;1;0;0;0;1;241605;3;Łazy;13293;133;15992;120;874;471;gmw;50.359335,19.249778 50.485977,19.519510;50.422656,19.384644;241605;13269;5303;1287;4389;1069;952;663;1307;19.53000;20.16;17.95;12.50;24.65
Burmistrz Miasta Dynów;181601;2;0;57.00;0;0;0;0;0;2;181601;1;Dynów;2455;25;6146;250;2199;1456;gm;49.787351,22.189489 49.840259,22.278581;49.813805,22.234035;181601;5046;2192;377;2153;203;693;909;289;14.67000;9.26;31.61;41.47;13.18
Wójt Gminy Ujsoły;241714;1;0;52.00;0;0;0;0;0;1;241714;2;Ujsoły;10981;110;4541;41;1232;1845;gw;49.402621,19.064042 49.536721,19.261821;49.469671,19.1629315;241714;3767;1117;449;822;199;368;38;151;28.67000;17.82;32.95;3.40;13.52
