Teryt;Gmina;Urząd;Nazwisko Imiona;Typ;Komitet
280407;gm. Pasłęk;Burmistrz Pasłęka;KOPAŃSKI Krzysztof;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW PASŁĘK RAZEM
302110;gm. Mosina;Burmistrz Gminy Mosina;MIELOCH Przemysław Stanisław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNIE DLA GMINY
260402;gm. Bodzentyn;Burmistrz Miasta i Gminy Bodzentyn;ŚWIETLIK Dariusz Józef;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
281705;gm. Rozogi;Wójt Gminy Rozogi;KUDRZYCKI Zbigniew;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNOTA SAMORZĄDOWA GMINY ROZOGI
080205;gm. Gubin;Wójt Gminy Gubin;BARSKI Zbigniew Waldemar;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ZBIGNIEWA BARSKIEGO
302407;gm. Szamotuły;Burmistrz Miasta i Gminy Szamotuły;KACZMAREK Włodzimierz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WŁODZIMIERZA KACZMARKA RAZEM !
041505;gm. Łubianka;Wójt Gminy Łubianka;ZALEWSKA Barbara Agata;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW PRZYMIERZE SAMORZĄDOWE
041505;gm. Łubianka;Wójt Gminy Łubianka;ZAJĄKAŁA Jerzy;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW JERZEGO ZAJĄKAŁA - ZGODA I ROZWÓJ GMINY
080801;gm. Lubrza;Wójt Gminy Lubrza;SKONIECZEK Ryszard;Komitet wyborczy organizacji i stowarzyszeń;KOMITET WYBORCZY FORUM SAMORZĄDOWE
181704;gm. Komańcza;Wójt Gminy Komańcza;SZATKOWSKA-MACKO Iwona Jadwiga;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW PRZYJAZNA GMINA
181205;gm. Nisko;Burmistrz Gminy i Miasta Nisko;KUZIORA Zbigniew Edward;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW MŁODOŚĆ ORAZ DOŚWIADCZENIE W NISKU
301909;gm. Wysoka;Burmistrz Miasta i Gminy Wysoka;MADEJ Marek;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW MARKA MADEJA
181704;gm. Komańcza;Wójt Gminy Komańcza;RÓŻYCKI Ryszard Janusz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW KOMAŃCZA XXI
181704;gm. Komańcza;Wójt Gminy Komańcza;BZDYK Roman Mariusz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ROMANA BZDYKA
181704;gm. Komańcza;Wójt Gminy Komańcza;KAROLCZUK Bogdan;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW BOGDANA KAROLCZUKA
041001;gm. Kcynia;Burmistrz Kcyni;HEMMERLING Piotr Andrzej;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW PIOTRA HEMMERLINGA „KCYNIA RAZEM”
181205;gm. Nisko;Burmistrz Gminy i Miasta Nisko;SROKA Józef;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
181704;gm. Komańcza;Wójt Gminy Komańcza;BIELAWKA Stanisław Dobrogniew;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW „ZGODĄ BUDUJMY”
041001;gm. Kcynia;Burmistrz Kcyni;SZARUGA Marek;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW „MARKA SZARUGI”
026201;m. Legnica;Prezydent Miasta Legnicy;GIZICKI Adam Sławomir;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW KUKIZ'15
041001;gm. Kcynia;Burmistrz Kcyni;SZCZEPANIAK Tomasz Antoni;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW TOMASZ SZCZEPANIAK
181204;gm. Krzeszów;Wójt Gminy Krzeszów;NOWAKOWSKI Stanisław;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
220110;gm. Tuchomie;Wójt Gminy Tuchomie;WNUK LIPIŃSKI Franciszek Sylwester;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW NASZA PRZYSZŁOŚĆ
086101;m. Gorzów Wielkopolski;Prezydent Miasta Gorzowa Wielkopolskiego;BEJNAR-BEJNAROWICZ Marta Teresa;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW KOCHAM GORZÓW
101209;gm. Ładzice;Wójt Gminy Ładzice;ŚLISKOWSKI VEL ŚLISKI Maciej Michał;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW NA RZECZ GMINY ŁADZICE
181802;gm. Bojanów;Wójt Gminy Bojanów;SULICH Edward Józef;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNIE DLA CIEBIE
140906;gm. Solec nad Wisłą;Wójt Gminy Solec nad Wisłą;ŚMIESZEK Lucja Stanisława;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
321803;gm. Radowo Małe;Wójt Gminy Radowo Małe;WYPIJEWSKI Józef Jarosław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW RUCH INICJATYW OBYWATELSKICH 2018
140906;gm. Solec nad Wisłą;Wójt Gminy Solec nad Wisłą;SZYMCZYK Marek Tomasz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW NIEZALEŻNI RAZEM DLA GMINY I POWIATU
281104;gm. Nidzica;Burmistrz Nidzicy;KOSMALA Jacek;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW POPARCIA JACKA KOSMALI
160802;gm. Gorzów Śląski;Burmistrz Gorzowa Śląskiego;TOMALA Artur Joachim;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA
221201;m. Ustka;Burmistrz Miasta Ustka;KOSKI Grzegorz Jerzy;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW GRZEGORZ KOSKI
302401;m. Obrzycko;Burmistrz Miasta Obrzycko;BIENIEK Maciej Jarosław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW DECYDUJMY WSPÓLNIE. DLA OBRZYCKA
200214;gm. Zabłudów;Burmistrz Zabłudowa;TOMANEK Adam;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW JESTEŚMY Z GMINĄ ZABŁUDÓW
180103;gm. Czarna;Wójt Gminy w Czarnej;KOCHANOWICZ Bogusław Wojciech;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW DLA GMINY CZARNA
040801;m. Lipno;Burmistrz Miasta Lipna;BANASIK Paweł Piotr;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW PAWŁA BANASIKA
321502;gm. Barwice;Burmistrz Barwic;OSUCH Wojciech;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
101407;gm. Klonowa;Wójt Gminy Klonowa;PERDEK Dariusz;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
102003;m. Zgierz;Prezydent Miasta Zgierza;WITCZAK Mieczysław Piotr;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW MIECZYSŁAWA WITCZAKA
061805;gm. Lubycza Królewska;Burmistrz Lubyczy Królewskiej;BOROWIEC Paweł Krzysztof;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNA GMINA
041805;gm. Choceń;Wójt Gminy Choceń;OLACH Tomasz Piotr;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNOTA SAMORZĄDOWA GMINY CHOCEŃ
100402;gm. Daszyna;Wójt Gminy Daszyna;DYMNY Tadeusz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW PRZYJAZNA I NOWOCZESNA GMINA
302103;gm. Buk;Burmistrz Miasta i Gminy Buk;ADAM Paweł;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW PAWŁA ADAMA
326301;m. Świnoujście;Prezydent Miasta Świnoujście;ŻMURKIEWICZ Janusz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW JANUSZA ŻMURKIEWICZA
326301;m. Świnoujście;Prezydent Miasta Świnoujście;AGATOWSKA Joanna Monika;SLD;KOALICYJNY KOMITET WYBORCZY SLD LEWICA RAZEM
060803;gm. Firlej;Wójt Gminy Firlej;CIESZKO Sławomir Marian;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW „GMINA FIRLEJ NASZ WSPÓLNY DOM”
142301;gm. Borkowice;Wójt Gminy Borkowice;FIDOS Robert Sylwester;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
221204;gm. Główczyce;Wójt Gminy Główczyce;LIPCZYŃSKA Joanna Barbara;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW JOANNY LIPCZYŃSKIEJ
081007;gm. Szprotawa;Burmistrz Szprotawy;SKIBA Krzysztof Andrzej;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW NASZA GMINA - NASZA PRZYSZŁOŚĆ
141308;gm. Szydłowo;Wójt Gminy Szydłowo;SUMICKI Stanisław;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
140611;gm. Warka;Burmistrz Warki;GIZKA Dariusz Witold;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW „WSPÓLNIE DLA MIASTA I GMINY WARKA”
040802;gm. Bobrowniki;Wójt Gminy Bobrowniki;POLIWKO Jarosław Jacek;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
102001;m. Głowno;Burmistrz Głowna;WAWRZYN Krzysztof Antoni;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
141308;gm. Szydłowo;Wójt Gminy Szydłowo;BOCZKOWSKI Wiesław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW NASZA PRZYSZŁOŚĆ
141308;gm. Szydłowo;Wójt Gminy Szydłowo;ROCHNA Grzegorz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW - GRZEGORZ ROCHNA
081007;gm. Szprotawa;Burmistrz Szprotawy;RUBACHA Józef Marcin;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW JÓZEFA RUBACHY
041102;gm. Bytoń;Wójt Gminy Bytoń;ZIELIŃSKI Marian Jan;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW „RUCH SAMORZĄDOWY DLA GMINY BYTOŃ”
041102;gm. Bytoń;Wójt Gminy Bytoń;KOSTECKI Piotr;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNOTA SAMORZĄDOWA PRZYSZŁOŚĆ
321702;gm. Człopa;Burmistrz Miasta i Gminy Człopa;BEKKER Jerzy Maciej;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW - RAZEM DLA WAS
080906;gm. Sulechów;Burmistrz Sulechowa;ODWAŻNY Ignacy;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW IGNACEGO ODWAŻNEGO
