teryt;nr;kto;glosy;prc;totalG;urzad;mode
020101;1;ROMAN Piotr;9647;60.37;15979;PM Bolesławiec;M
020101;2;MAŁKOWSKI Maciej Stanisław;4452;27.86;15979;PM Bolesławiec;M
020101;3;OGRODNIK Wiesław;1383;8.66;15979;PM Bolesławiec;M
020101;4;RUDYK Cezariusz Emanuel;497;3.11;15979;PM Bolesławiec;M
020102;1;DUTKOWSKI Andrzej Zbigniew;2883;52.50;5491;WG Bolesławiec;M
020102;2;JANIEC Andrzej;2608;47.50;5491;WG Bolesławiec;M
020103;1;PAWLISZCZY Dariusz Oleś;1355;50.33;2692;WG Gromadka;M
020103;2;GŁUSZKO Rafał Krzysztof;1240;46.06;2692;WG Gromadka;M
020103;3;TILGNER Stefania;97;3.60;2692;WG Gromadka;M
020104;1;RELICH Robert Marek;2839;50.35;5638;B Nowogrodźca;M
020104;2;ŚWIDER Joanna;2799;49.65;5638;B Nowogrodźca;M
020105;1;NALAZEK Waldemar Jerzy;327;50.00;654;WG Osiecznica;S
020106;1;HANISZEWSKI Mirosław Kazimierz;2421;68.54;3532;WG Warta Bolesławiecka;M
020106;2;WIS Aleksander;1111;31.46;3532;WG Warta Bolesławiecka;M
020201;1;HORDYJ Andrzej Ireneusz;4552;39.50;11524;BM Bielawa;M
020201;2;ŁYŻWA Piotr Jan;3361;29.17;11524;BM Bielawa;M
020201;3;RAK Marcin Dominik;1661;14.41;11524;BM Bielawa;M
020201;4;FLORCZAK Jarosław Zdzisław;1243;10.79;11524;BM Bielawa;M
020201;5;MASYK Marta Maria;707;6.14;11524;BM Bielawa;M
020202;1;KUCHARSKI Dariusz;8851;68.82;12861;B Dzierżoniowa;M
020202;2;KRESA Jarosław;2843;22.11;12861;B Dzierżoniowa;M
020202;3;KOWALSKI Paweł Maciej;1167;9.07;12861;B Dzierżoniowa;M
020203;1;KONIECZNA-ENÖZEL Dorota;2634;68.52;3844;BMG Pieszyce;M
020203;2;OBAL Mirosław Janusz;1210;31.48;3844;BMG Pieszyce;M
020204;1;CHUDYK Krzysztof;1071;41.87;2558;B Piławy Górnej;M
020204;2;BIELAWSKA Zuzanna;1016;39.72;2558;B Piławy Górnej;M
020204;3;PIECH Tomasz;471;18.41;2558;B Piławy Górnej;M
020205;1;CHMIELEWSKI Marek Jan;2633;71.14;3701;WG Dzierżoniów;M
020205;2;WALENDOWSKI Dariusz;1068;28.86;3701;WG Dzierżoniów;M
020206;1;TYNIEC Jarosław Piotr;1394;40.09;3477;WG Łagiewniki;M
020206;2;SZCZURKOWSKI Artur;804;23.12;3477;WG Łagiewniki;M
020206;3;KULI Waldemar Artur;613;17.63;3477;WG Łagiewniki;M
020206;4;NAJDEK Cristina Daniela;452;13.00;3477;WG Łagiewniki;M
020206;5;ĆWIK Emilia;214;6.15;3477;WG Łagiewniki;M
020207;1;WĘGŁOWSKI Jarosław;859;38.11;2254;BMG Niemcza;M
020207;2;SZYMAŃSKA-ŚLEDŹ Monika Magdalena;671;29.77;2254;BMG Niemcza;M
020207;3;MIELNIK Edyta Marta;595;26.40;2254;BMG Niemcza;M
020207;4;SITNIK Andrzej Romuald;129;5.72;2254;BMG Niemcza;M
020301;1;ROKASZEWICZ Rafael Ryszard;16568;61.17;27087;PM Głogowa;M
020301;2;BOŻEK Przemysław Maciej;8570;31.64;27087;PM Głogowa;M
020301;3;MAJEWSKI Sławomir;1949;7.20;27087;PM Głogowa;M
020302;1;ZIMNY Bartłomiej Antoni;1927;61.62;3127;WG Głogów;M
020302;2;GNIEWOSZ Joanna;1200;38.38;3127;WG Głogów;M
020303;1;GOLBA Lesław Julian;1240;48.23;2571;WG Jerzmanowa;M
020303;2;ZWOLIŃSKI Paweł Tadeusz;826;32.13;2571;WG Jerzmanowa;M
020303;3;STEFANIAK Monika Maria;505;19.64;2571;WG Jerzmanowa;M
020304;1;HORBATOWSKI Łukasz;170;50.00;340;WG Kotla;S
020305;1;JURKOWSKI Artur Andrzej;199;50.00;398;WG Pęcław;S
020306;1;WOŁOSZYN Krzysztof Piotr;1211;79.51;1523;WG Żukowice;M
020306;2;GRABOWSKA Barbara;312;20.49;1523;WG Żukowice;M
020401;1;KRZYSZKIEWICZ Irena Teresa;4242;59.22;7163;B Góry;M
020401;2;FRĄCZKIEWICZ Teresa;1900;26.53;7163;B Góry;M
020401;3;CHMIEL Adam Adolf;1021;14.25;7163;B Góry;M
020402;1;SIERPOWSKA Anita Agnieszka;709;57.32;1237;WG Jemielno;M
020402;2;UCINEK Jan;528;42.68;1237;WG Jemielno;M
020403;1;PONA Beata Barbara;1249;58.72;2127;WG Niechlów;M
020403;2;PIETROWIAK Ewa Barbara;517;24.31;2127;WG Niechlów;M
020403;3;KOŹMIŃSKI Przemysław Mieczysław;361;16.97;2127;WG Niechlów;M
020404;1;STUCZYK Zbigniew Stanisław;1470;43.84;3353;B Wąsosza;M
020404;2;NIEDŹWIEDŹ Paweł;1426;42.53;3353;B Wąsosza;M
020404;3;MAZUR Andrzej;457;13.63;3353;B Wąsosza;M
020501;1;BERA Emilian Stanisław;5535;55.63;9950;BM Jawora;M
020501;2;KOWALCZYK Krzysztof Mariusz;2595;26.08;9950;BM Jawora;M
020501;3;KUCHARZYK Aneta;1820;18.29;9950;BM Jawora;M
020502;1;KUCAB Grzegorz Michał;2565;56.31;4555;B Bolkowa;M
020502;2;WROŃSKI Jarosław Stanisław;1700;37.32;4555;B Bolkowa;M
020502;3;FRĄCKOWIAK Edyta Joanna;207;4.54;4555;B Bolkowa;M
020502;4;BŁĄD-JEZIOREK Joanna Katarzyna;83;1.82;4555;B Bolkowa;M
020503;1;BRZOZOWSKI Mirosław Kazimierz;364;50.00;728;WG Męcinka;S
020504;1;FORYŚ Mariusz Damian;1285;65.26;1969;WG Mściwojów;M
020504;2;OLCHÓWKA Piotr Jan;684;34.74;1969;WG Mściwojów;M
020505;1;OSZCZĘDA Sebastian Paweł;1059;59.20;1789;WG Paszowice;M
020505;2;WDOWIAK Monika Teresa;403;22.53;1789;WG Paszowice;M
020505;3;SOWA Elżbieta;327;18.28;1789;WG Paszowice;M
020506;1;JEDLECKA Elżbieta Barbara;1239;63.34;1956;WG Wądroże Wielkie;M
020506;2;TRELA Aneta Maria;439;22.44;1956;WG Wądroże Wielkie;M
020506;3;SZOZDA Krzysztof Andrzej;182;9.30;1956;WG Wądroże Wielkie;M
020506;4;STEFANISZEK Norbert Nikodem;96;4.91;1956;WG Wądroże Wielkie;M
020601;1;JĘCEK Radosław Adrian;1115;51.62;2160;B Karpacza;M
020601;2;MALINOWSKI Bogdan;568;26.30;2160;B Karpacza;M
020601;3;DERECZENIK Violeta Maria;477;22.08;2160;B Karpacza;M
020602;1;ZAKRZEWSKA Elżbieta;1937;46.17;4195;BM Kowary;M
020602;2;PITUCH Paweł Karol;1247;29.73;4195;BM Kowary;M
020602;3;OLSZEWSKI Andrzej Dominik;627;14.95;4195;BM Kowary;M
020602;4;ŁUBIŃSKI Krzysztof Jan;196;4.67;4195;BM Kowary;M
020602;5;KOZŁOWSKI Jacek;188;4.48;4195;BM Kowary;M
020603;1;KUBIELSKI Jacek;688;24.55;2803;BM Piechowice;M
020603;2;PIRÓG Dorota Ewa;628;22.40;2803;BM Piechowice;M
020603;3;BURCHACKI Radosław Antoni;586;20.91;2803;BM Piechowice;M
020603;4;KAMIŃSKI Jacek Ryszard;421;15.02;2803;BM Piechowice;M
020603;5;MAZUR Rafał Piotr;292;10.42;2803;BM Piechowice;M
020603;6;WOJTAŚ Waldemar;105;3.75;2803;BM Piechowice;M
020603;7;SMOLCZYŃSKI Leon Ignacy;83;2.96;2803;BM Piechowice;M
020604;1;GRAF Mirosław;1265;46.51;2720;B Szklarskiej Poręby;M
020604;2;RZEPCZYŃSKI Ryszard Bogusław;604;22.21;2720;B Szklarskiej Poręby;M
020604;3;SOKOLIŃSKI Grzegorz Janusz;472;17.35;2720;B Szklarskiej Poręby;M
020604;4;WONDOŁOWSKA-GRABOWSKA Anna;162;5.96;2720;B Szklarskiej Poręby;M
020604;5;BIELAŃCZYK Katarzyna Edyta;135;4.96;2720;B Szklarskiej Poręby;M
020604;6;BOGUSZ Łukasz Grzegorz;82;3.01;2720;B Szklarskiej Poręby;M
020605;1;KOWALSKI Kamil Daniel;984;55.10;1786;WG Janowice Wielkie;M
020605;2;PAWŁOWICZ Anita Maria;802;44.90;1786;WG Janowice Wielkie;M
020606;1;DUDEK Edward Jan;1702;59.26;2872;WG Jeżów Sudecki;M
020606;2;ROSÓŁ Paweł Tadeusz;1170;40.74;2872;WG Jeżów Sudecki;M
020607;1;ORMAN Michał;2151;53.37;4030;WG Mysłakowice;M
020607;2;NIDZGORSKA Ewa Romualda;1017;25.24;4030;WG Mysłakowice;M
020607;3;NYC Piotr;445;11.04;4030;WG Mysłakowice;M
020607;4;WATEHA Jerzy Witold;417;10.35;4030;WG Mysłakowice;M
020608;1;KALATA Mirosław;2272;63.66;3569;WG Podgórzyn;M
020608;2;PIWOWARSKI Marek Stanisław;808;22.64;3569;WG Podgórzyn;M
020608;3;JESIONOWSKI Czesław Henryk;411;11.52;3569;WG Podgórzyn;M
020608;4;BENESZ Bogusław Tadeusz;78;2.19;3569;WG Podgórzyn;M
020609;1;MAREK Mariusz Krzysztof;283;50.00;566;WG Stara Kamienica;S
020701;1;ŚWIĄTEK Krzysztof Józef;2429;30.87;7868;BM Kamienna Góra;M
020701;2;CHODASEWICZ Janusz Witold;1890;24.02;7868;BM Kamienna Góra;M
020701;3;BLICHARSKI Adam Wacław;1834;23.31;7868;BM Kamienna Góra;M
020701;4;JACIUK Mariola;933;11.86;7868;BM Kamienna Góra;M
020701;5;ZIELIŃSKI Artur Waldemar;401;5.10;7868;BM Kamienna Góra;M
020701;6;BAĆKO Tomasz Marcin;381;4.84;7868;BM Kamienna Góra;M
020702;1;STRAUS Patryk Piotr;581;50.00;1162;WG Kamienna Góra;S
020703;1;KOCEMBA Ewa Aleksandra;2380;47.69;4991;BM Lubawka;M
020703;2;KULON Tomasz Marian;1500;30.05;4991;BM Lubawka;M
020703;3;ORZECHOWSKI Jan Józef;1111;22.26;4991;BM Lubawka;M
020704;1;CEPIELIK Wiesław Waldemar;1243;57.89;2147;WG Marciszów;M
020704;2;ZAWIERUCHA Stefan Adam;674;31.39;2147;WG Marciszów;M
020704;3;CIUBA Artur;230;10.71;2147;WG Marciszów;M
020801;1;LEWANDOWSKI Piotr Andrzej;1055;52.23;2020;BM Duszniki-Zdrój;M
020801;2;ZILBERT Piotr;838;41.49;2020;BM Duszniki-Zdrój;M
020801;3;MATUSZEWSKI Wojciech;127;6.29;2020;BM Duszniki-Zdrój;M
020802;1;PISZKO Michał Jan;7577;67.56;11215;BM Kłodzka;M
020802;2;SZPYTMA Bogusław Krzysztof;1671;14.90;11215;BM Kłodzka;M
020802;3;KAROLCZAK Tomasz Karol;702;6.26;11215;BM Kłodzka;M
020802;4;MIKOSA Dariusz Stanisław;683;6.09;11215;BM Kłodzka;M
