woj;okr;komitet;nr;kandydat;wiek;skad;oswidczenie;uwagi
02;o1;BS;1;BOBOWIEC Michał Andrzej;47;Wrocław;;
02;o1;BS;2;ZDROJEWSKA Ewa Anna;39;Wisznia Mała;;
02;o1;BS;3;WRÓBLEWSKI Paweł Leszek;54;Wrocław;;
02;o1;BS;4;MACAŁA Henryk Jan;66;Wrocław;;
02;o1;BS;5;KACZMARZYK-JANCZAK Elżbieta Zofia;54;Gajków;;
02;o1;BS;6;CZAPIEWSKI Edward;72;Wrocław;;
02;o1;BS;7;RYLOKOWSKA-MACIĄŻEK Marta;37;Wrocław;;
02;o1;BS;8;RUSINOWSKA-KOLLEK Barbara Daniela;62;Wrocław;;
02;o1;BS;9;NOWAKOWSKI Michał Krzysztof;35;Wrocław;;
02;o1;BS;10;RZEWUSKA Ewa Maria;81;Wrocław;;
02;o1;PSL;1;SOCHA Jan;63;Wrocław;;
02;o1;PSL;2;BARTOSZEWICZ Urszula Agnieszka;37;Wrocław;;
02;o1;PSL;3;CHUDY Stanisław Grzegorz;56;Wrocław;;
02;o1;PSL;4;JAWORSKA Teresa Łucja;70;Wrocław;;
02;o1;PSL;5;LECH Dominika Maria;24;Wrocław;;
02;o1;PSL;6;RÓŻYCKI Dariusz Andrzej;50;Wrocław;;
02;o1;PSL;7;MAJKUT-POLAŃSKA Anna;41;Wrocław;;
02;o1;PSL;8;JĘCZMIEŃ Jacek;31;Wrocław;;
02;o1;PSL;9;KOŚCIUKIEWICZ Adam Zenon;33;Wrocław;;
02;o1;PSL;10;KŁYS Zbigniew Marian;65;Wrocław;;
02;o1;ZIELONI;1;RUSINEK Mariusz Jerzy;45;Wrocław;;
02;o1;ZIELONI;2;GAŁĘCKA Jadwiga;64;Wrocław;;
02;o1;ZIELONI;3;HAŁUSZCZAK Wojciech;67;Wrocław;;
02;o1;ZIELONI;4;PIOTROWSKA-MARCHEWA Monika Natalia;43;Wrocław;;
02;o1;ZIELONI;5;TRYCZYK Mirosław Andrzej;41;Wrocław;;
02;o1;ZIELONI;6;CZEKALSKA Katarzyna Agnieszka;39;Wrocław;;
02;o1;ZIELONI;7;SŁOBODZIAN Maciej Piotr;22;Wrocław;;
