tura;teryt;nrk;kto;wiek;miasto;glosy;glosyp;glosyn;wynik
R1;020101;1;MAŁKOWSKI Maciej Stanisław;42;wyższe;Bolesławiec,;4452;27.86;-1;Nie
R1;020101;2;OGRODNIK Wiesław;60;wyższe;Bolesławiec,;1383;8.66;-1;Nie
R1;020101;3;ROMAN Piotr;56;wyższe;Bolesławiec,;9647;60.37;-1;Tak
R1;020101;4;RUDYK Cezariusz Emanuel;54;wyższe;Kruszyn,;497;3.11;-1;Nie
R1;020102;1;DUTKOWSKI Andrzej Zbigniew;63;wyższe;Nowogrodziec,;2883;52.50;-1;Tak
R1;020102;2;JANIEC Andrzej;27;wyższe;Lipiany, Prawo i Sprawiedliwość;2608;47.50;-1;Nie
R1;020103;1;GŁUSZKO Rafał Krzysztof;31;wyższe;Gromadka,;1240;46.06;-1;Nie
R1;020103;2;PAWLISZCZY Dariusz Oleś;56;wyższe;Gromadka,;1355;50.33;-1;Tak
R1;020103;3;TILGNER Stefania;63;wyższe;Gromadka,;97;3.60;-1;Nie
R1;020104;1;RELICH Robert Marek;48;wyższe;Gierałtów,;2839;50.35;-1;Tak
R1;020104;2;ŚWIDER Joanna;50;wyższe;Nowogrodziec, Prawo i Sprawiedliwość;2799;49.65;-1;Nie
R1;020105;1;NALAZEK Waldemar Jerzy;63;wyższe;Osiecznica,;1974;85.79%;327;Tak
R1;020106;1;HANISZEWSKI Mirosław Kazimierz;62;wyższe;Raciborowice Dolne,;2421;68.54;-1;Tak
R1;020106;2;WIS Aleksander;48;wyższe;Raciborowice Górne,;1111;31.46;-1;Nie
R1;020201;1;FLORCZAK Jarosław Zdzisław;51;średnie;Bielawa,;1243;10.79;-1;Nie
R1;020201;2;HORDYJ Andrzej Ireneusz;43;wyższe;Bielawa,;4552;39.50;-1;Druga tura
R1;020201;3;ŁYŻWA Piotr Jan;57;wyższe;Bielawa,;3361;29.17;-1;Druga tura
R1;020201;4;MASYK Marta Maria;38;wyższe;Bielawa,;707;6.14;-1;Nie
R1;020201;5;RAK Marcin Dominik;35;wyższe prawnicze;Bielawa, Prawo i Sprawiedliwość;1661;14.41;-1;Nie
R1;020202;1;KOWALSKI Paweł Maciej;46;wyższe;Dzierżoniów,;1167;9.07;-1;Nie
R1;020202;2;KRESA Jarosław;48;wyższe;Dzierżoniów,;2843;22.11;-1;Nie
R1;020202;3;KUCHARSKI Dariusz;49;wyższe;Dzierżoniów,;8851;68.82;-1;Tak
R1;020203;1;KONIECZNA-ENÖZEL Dorota;42;wyższe;Kamionki,;2634;68.52;-1;Tak
R1;020203;2;OBAL Mirosław Janusz;54;wyższe;Pieszyce,;1210;31.48;-1;Nie
R1;020204;1;BIELAWSKA Zuzanna;53;wyższe;Piława Górna,;1016;39.72;-1;Druga tura
R1;020204;2;CHUDYK Krzysztof;56;wyższe;Piława Górna,;1071;41.87;-1;Druga tura
R1;020204;3;PIECH Tomasz;36;średnie;Piława Górna,;471;18.41;-1;Nie
R1;020205;1;CHMIELEWSKI Marek Jan;56;wyższe;Piława Dolna,;2633;71.14;-1;Tak
R1;020205;2;WALENDOWSKI Dariusz;57;wyższe;Włóki,;1068;28.86;-1;Nie
R1;020206;1;ĆWIK Emilia;56;wyższe;Łagiewniki,;214;6.15;-1;Nie
R1;020206;2;KULI Waldemar Artur;41;wyższe;Kiełczów,;613;17.63;-1;Nie
R1;020206;3;NAJDEK Cristina Daniela;45;średnie;Łagiewniki,;452;13.00;-1;Nie
R1;020206;4;SZCZURKOWSKI Artur;42;wyższe;Łagiewniki,;804;23.12;-1;Druga tura
R1;020206;5;TYNIEC Jarosław Piotr;52;średnie;Łagiewniki,;1394;40.09;-1;Druga tura
R1;020207;1;MIELNIK Edyta Marta;36;wyższe;Podlesie,;595;26.40;-1;Nie
R1;020207;2;SITNIK Andrzej Romuald;59;wyższe;Niemcza,;129;5.72;-1;Nie
R1;020207;3;SZYMAŃSKA-ŚLEDŹ Monika Magdalena;40;wyższe;Niemcza,;671;29.77;-1;Druga tura
R1;020207;4;WĘGŁOWSKI Jarosław;55;średnie;Kietlin,;859;38.11;-1;Druga tura
R1;020301;1;BOŻEK Przemysław Maciej;41;wyższe;Jaczów,;8570;31.64;-1;Nie
R1;020301;2;MAJEWSKI Sławomir;54;wyższe;Głogów,;1949;7.20;-1;Nie
R1;020301;3;ROKASZEWICZ Rafael Ryszard;44;wyższe;Głogów,;16568;61.17;-1;Tak
R1;020302;1;GNIEWOSZ Joanna;40;wyższe ekonomiczne;Grodziec Mały,;1200;38.38;-1;Nie
R1;020302;2;ZIMNY Bartłomiej Antoni;42;wyższe techniczne;Borek,;1927;61.62;-1;Tak
R1;020303;1;GOLBA Lesław Julian;59;wyższe magisterskie;Maniów,;1240;48.23;-1;Druga tura
R1;020303;2;STEFANIAK Monika Maria;38;wyższe;Jerzmanowa,;505;19.64;-1;Nie
R1;020303;3;ZWOLIŃSKI Paweł Tadeusz;43;wyższe;Jaczów,;826;32.13;-1;Druga tura
R1;020304;1;HORBATOWSKI Łukasz;38;wyższe;Głogów,;1431;89.38%;170;Tak
R1;020305;1;JURKOWSKI Artur Andrzej;51;wyższe;Ruszowice,;568;74.05%;199;Tak
R1;020306;1;GRABOWSKA Barbara;45;wyższe;Domaniowice,;312;20.49;-1;Nie
R1;020306;2;WOŁOSZYN Krzysztof Piotr;41;wyższe;Modła,;1211;79.51;-1;Tak
R1;020401;1;CHMIEL Adam Adolf;43;Średnie;Góra,;1021;14.25;-1;Nie
R1;020401;2;FRĄCZKIEWICZ Teresa;60;Wyższe;Góra,;1900;26.53;-1;Nie
R1;020401;3;KRZYSZKIEWICZ Irena Teresa;57;Wyższe;Czernina Dolna,;4242;59.22;-1;Tak
R1;020402;1;SIERPOWSKA Anita Agnieszka;31;wyższe;Łęczyca,;709;57.32;-1;Tak
R1;020402;2;UCINEK Jan;62;wyższe;Jemielno,;528;42.68;-1;Nie
R1;020403;1;KOŹMIŃSKI Przemysław Mieczysław;41;średnie;Gola Górowska,;361;16.97;-1;Nie
R1;020403;2;PIETROWIAK Ewa Barbara;58;podstawowe;Żuchlów,;517;24.31;-1;Nie
R1;020403;3;PONA Beata Barbara;52;Wyższe;Szaszorowice,;1249;58.72;-1;Tak
R1;020404;1;MAZUR Andrzej;43;zawodowe;Chocieborowice,;457;13.63;-1;Nie
R1;020404;2;NIEDŹWIEDŹ Paweł;45;wyższe;Wąsosz,;1426;42.53;-1;Druga tura
R1;020404;3;STUCZYK Zbigniew Stanisław;58;wyższe;Sądowel,;1470;43.84;-1;Druga tura
R1;020501;1;BERA Emilian Stanisław;33;wyższe;Jawor,;5535;55.63;-1;Tak
R1;020501;2;KOWALCZYK Krzysztof Mariusz;38;wyższe;Jawor,;2595;26.08;-1;Nie
R1;020501;3;KUCHARZYK Aneta;34;wyższe;Jawor,;1820;18.29;-1;Nie
R1;020502;1;BŁĄD-JEZIOREK Joanna Katarzyna;34;wyższe;Bolków,;83;1.82;-1;Nie
R1;020502;2;FRĄCKOWIAK Edyta Joanna;48;wyższe;Bolków,;207;4.54;-1;Nie
R1;020502;3;KUCAB Grzegorz Michał;39;wyższe;Mysłów,;2565;56.31;-1;Tak
R1;020502;4;WROŃSKI Jarosław Stanisław;55;wyższe;Bolków,;1700;37.32;-1;Nie
R1;020503;1;BRZOZOWSKI Mirosław Kazimierz;51;średnie;Sichów,;1980;84.47%;364;Tak
R1;020504;1;FORYŚ Mariusz Damian;41;wyższe;Targoszyn,;1285;65.26;-1;Tak
R1;020504;2;OLCHÓWKA Piotr Jan;50;wyższe;Snowidza,;684;34.74;-1;Nie
R1;020505;1;OSZCZĘDA Sebastian Paweł;40;wyższe;Sokola,;1059;59.20;-1;Tak
R1;020505;2;SOWA Elżbieta;56;wyższe;Zębowice,;327;18.28;-1;Nie
R1;020505;3;WDOWIAK Monika Teresa;46;wyższe;Kłonice,;403;22.53;-1;Nie
R1;020506;1;JEDLECKA Elżbieta Barbara;45;wyższe;Mierczyce,;1239;63.34;-1;Tak
R1;020506;2;STEFANISZEK Norbert Nikodem;42;wyższe;Wądroże Wielkie,;96;4.91;-1;Nie
R1;020506;3;SZOZDA Krzysztof Andrzej;53;wyższe;Skała,;182;9.30;-1;Nie
R1;020506;4;TRELA Aneta Maria;45;średnie;Wądroże Wielkie,;439;22.44;-1;Nie
R1;020601;1;DERECZENIK Violeta Maria;59;wyższe;Karpacz,;477;22.08;-1;Nie
R1;020601;2;JĘCEK Radosław Adrian;43;wyższe;Karpacz,;1115;51.62;-1;Tak
R1;020601;3;MALINOWSKI Bogdan;69;wyższe;Karpacz,;568;26.30;-1;Nie
R1;020602;1;KOZŁOWSKI Jacek;49;zawodowe;Kowary,;188;4.48;-1;Nie
R1;020602;2;ŁUBIŃSKI Krzysztof Jan;57;wyższe;Kowary,;196;4.67;-1;Nie
R1;020602;3;OLSZEWSKI Andrzej Dominik;33;wyższe;Karpacz,;627;14.95;-1;Nie
R1;020602;4;PITUCH Paweł Karol;33;wyższe;Kowary,;1247;29.73;-1;Druga tura
R1;020602;5;ZAKRZEWSKA Elżbieta;55;wyższe;Kowary,;1937;46.17;-1;Druga tura
R1;020603;1;BURCHACKI Radosław Antoni;42;wyższe;Piechowice,;586;20.91;-1;Nie
