teryt;exteryt;bb;center;===;tura;teryt;nrk;kto;wiek;miasto;glosy;glosyp;glosyn;wynik
020101;1;51.226376,15.501076 51.297962,15.602184;51.262169,15.55163;===;R1;020101;1;MAŁKOWSKI Maciej Stanisław;42;wyższe;Bolesławiec,;4452;27.86;-1;Nie
020101;1;51.226376,15.501076 51.297962,15.602184;51.262169,15.55163;===;R1;020101;2;OGRODNIK Wiesław;60;wyższe;Bolesławiec,;1383;8.66;-1;Nie
020101;1;51.226376,15.501076 51.297962,15.602184;51.262169,15.55163;===;R1;020101;3;ROMAN Piotr;56;wyższe;Bolesławiec,;9647;60.37;-1;Tak
020101;1;51.226376,15.501076 51.297962,15.602184;51.262169,15.55163;===;R1;020101;4;RUDYK Cezariusz Emanuel;54;wyższe;Kruszyn,;497;3.11;-1;Nie
020102;2;51.175601,15.435787 51.466225,15.667149;51.320913,15.551468;===;R1;020102;1;DUTKOWSKI Andrzej Zbigniew;63;wyższe;Nowogrodziec,;2883;52.50;-1;Tak
020102;2;51.175601,15.435787 51.466225,15.667149;51.320913,15.551468;===;R1;020102;2;JANIEC Andrzej;27;wyższe;Lipiany, Prawo i Sprawiedliwość;2608;47.50;-1;Nie
020103;2;51.283835,15.616778 51.517392,15.858353;51.4006135,15.7375655;===;R1;020103;1;GŁUSZKO Rafał Krzysztof;31;wyższe;Gromadka,;1240;46.06;-1;Nie
020103;2;51.283835,15.616778 51.517392,15.858353;51.4006135,15.7375655;===;R1;020103;2;PAWLISZCZY Dariusz Oleś;56;wyższe;Gromadka,;1355;50.33;-1;Tak
020103;2;51.283835,15.616778 51.517392,15.858353;51.4006135,15.7375655;===;R1;020103;3;TILGNER Stefania;63;wyższe;Gromadka,;97;3.60;-1;Nie
020104;3;51.112362,15.205959 51.282261,15.496663;51.1973115,15.351311;===;R1;020104;1;RELICH Robert Marek;48;wyższe;Gierałtów,;2839;50.35;-1;Tak
020104;3;51.112362,15.205959 51.282261,15.496663;51.1973115,15.351311;===;R1;020104;2;ŚWIDER Joanna;50;wyższe;Nowogrodziec, Prawo i Sprawiedliwość;2799;49.65;-1;Nie
020105;2;51.258337,15.249757 51.531046,15.595944;51.3946915,15.4228505;===;R1;020105;1;NALAZEK Waldemar Jerzy;63;wyższe;Osiecznica,;1974;85.79%;327;Tak
020106;2;51.159265,15.622624 51.314714,15.777385;51.2369895,15.7000045;===;R1;020106;1;HANISZEWSKI Mirosław Kazimierz;62;wyższe;Raciborowice Dolne,;2421;68.54;-1;Tak
020106;2;51.159265,15.622624 51.314714,15.777385;51.2369895,15.7000045;===;R1;020106;2;WIS Aleksander;48;wyższe;Raciborowice Górne,;1111;31.46;-1;Nie
020201;1;50.636389,16.536642 50.714554,16.669010;50.6754715,16.602826;===;R1;020201;1;FLORCZAK Jarosław Zdzisław;51;średnie;Bielawa,;1243;10.79;-1;Nie
020201;1;50.636389,16.536642 50.714554,16.669010;50.6754715,16.602826;===;R1;020201;2;HORDYJ Andrzej Ireneusz;43;wyższe;Bielawa,;4552;39.50;-1;Druga tura
020201;1;50.636389,16.536642 50.714554,16.669010;50.6754715,16.602826;===;R1;020201;3;ŁYŻWA Piotr Jan;57;wyższe;Bielawa,;3361;29.17;-1;Druga tura
020201;1;50.636389,16.536642 50.714554,16.669010;50.6754715,16.602826;===;R1;020201;4;MASYK Marta Maria;38;wyższe;Bielawa,;707;6.14;-1;Nie
020201;1;50.636389,16.536642 50.714554,16.669010;50.6754715,16.602826;===;R1;020201;5;RAK Marcin Dominik;35;wyższe prawnicze;Bielawa, Prawo i Sprawiedliwość;1661;14.41;-1;Nie
020202;1;50.700225,16.604455 50.758132,16.690166;50.7291785,16.6473105;===;R1;020202;1;KOWALSKI Paweł Maciej;46;wyższe;Dzierżoniów,;1167;9.07;-1;Nie
020202;1;50.700225,16.604455 50.758132,16.690166;50.7291785,16.6473105;===;R1;020202;2;KRESA Jarosław;48;wyższe;Dzierżoniów,;2843;22.11;-1;Nie
020202;1;50.700225,16.604455 50.758132,16.690166;50.7291785,16.6473105;===;R1;020202;3;KUCHARSKI Dariusz;49;wyższe;Dzierżoniów,;8851;68.82;-1;Tak
020203;3;50.648606,16.479584 50.758685,16.627985;50.7036455,16.5537845;===;R1;020203;1;KONIECZNA-ENÖZEL Dorota;42;wyższe;Kamionki,;2634;68.52;-1;Tak
020203;3;50.648606,16.479584 50.758685,16.627985;50.7036455,16.5537845;===;R1;020203;2;OBAL Mirosław Janusz;54;wyższe;Pieszyce,;1210;31.48;-1;Nie
020204;1;50.658319,16.715314 50.707434,16.794692;50.6828765,16.755003;===;R1;020204;1;BIELAWSKA Zuzanna;53;wyższe;Piława Górna,;1016;39.72;-1;Druga tura
020204;1;50.658319,16.715314 50.707434,16.794692;50.6828765,16.755003;===;R1;020204;2;CHUDYK Krzysztof;56;wyższe;Piława Górna,;1071;41.87;-1;Druga tura
020204;1;50.658319,16.715314 50.707434,16.794692;50.6828765,16.755003;===;R1;020204;3;PIECH Tomasz;36;średnie;Piława Górna,;471;18.41;-1;Nie
020205;2;50.624973,16.547988 50.826762,16.773273;50.7258675,16.6606305;===;R1;020205;1;CHMIELEWSKI Marek Jan;56;wyższe;Piława Dolna,;2633;71.14;-1;Tak
020205;2;50.624973,16.547988 50.826762,16.773273;50.7258675,16.6606305;===;R1;020205;2;WALENDOWSKI Dariusz;57;wyższe;Włóki,;1068;28.86;-1;Nie
020206;2;50.740918,16.662063 50.844971,16.904177;50.7929445,16.78312;===;R1;020206;1;ĆWIK Emilia;56;wyższe;Łagiewniki,;214;6.15;-1;Nie
020206;2;50.740918,16.662063 50.844971,16.904177;50.7929445,16.78312;===;R1;020206;2;KULI Waldemar Artur;41;wyższe;Kiełczów,;613;17.63;-1;Nie
020206;2;50.740918,16.662063 50.844971,16.904177;50.7929445,16.78312;===;R1;020206;3;NAJDEK Cristina Daniela;45;średnie;Łagiewniki,;452;13.00;-1;Nie
020206;2;50.740918,16.662063 50.844971,16.904177;50.7929445,16.78312;===;R1;020206;4;SZCZURKOWSKI Artur;42;wyższe;Łagiewniki,;804;23.12;-1;Druga tura
020206;2;50.740918,16.662063 50.844971,16.904177;50.7929445,16.78312;===;R1;020206;5;TYNIEC Jarosław Piotr;52;średnie;Łagiewniki,;1394;40.09;-1;Druga tura
020207;3;50.660110,16.725854 50.770744,16.895113;50.715427,16.8104835;===;R1;020207;1;MIELNIK Edyta Marta;36;wyższe;Podlesie,;595;26.40;-1;Nie
020207;3;50.660110,16.725854 50.770744,16.895113;50.715427,16.8104835;===;R1;020207;2;SITNIK Andrzej Romuald;59;wyższe;Niemcza,;129;5.72;-1;Nie
020207;3;50.660110,16.725854 50.770744,16.895113;50.715427,16.8104835;===;R1;020207;3;SZYMAŃSKA-ŚLEDŹ Monika Magdalena;40;wyższe;Niemcza,;671;29.77;-1;Druga tura
020207;3;50.660110,16.725854 50.770744,16.895113;50.715427,16.8104835;===;R1;020207;4;WĘGŁOWSKI Jarosław;55;średnie;Kietlin,;859;38.11;-1;Druga tura
